episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,20.869591058334148,22,1,1.272727272727272,1.0,16.333333333333332,21.677633135419747,22.0
2,39.10718631253834,40,0,0.7499999999999997,0.0,27.333333333333343,39.81861533868546,40.0
3,36.64485141051133,39,1,0.6629343890546332,1.0,18.0,37.91819278941748,39.0
4,32.93463312539007,40,0,0.5000000000000131,0.0,37.66666666666667,14.08820755354606,40.0
5,27.783225034685092,30,1,0.5374412413457296,1.0,11.333333333333334,28.85376054673573,30.0
6,6.4217069654702374,8,1,3.2666495061011678,1.0,0.3333333333333333,6.498067787180057,8.0
7,37.71168665943257,40,0,0.7499999999999997,0.0,12.333333333333334,38.33549163953879,40.0
8,13.161148584517969,14,1,1.9999999999932083,1.0,12.666666666666668,13.687640525275716,14.0
9,35.72839138738709,40,0,0.5000000005311995,0.0,25.666666666666664,27.56480103603495,40.0
10,12.590165091921879,14,1,1.1029838824085725,1.0,9.0,12.463119094707046,14.0
11,13.485331907451837,15,1,1.6153664302412676,1.0,15.0,11.819994652944386,15.0
12,35.97393049350868,40,0,0.6066656086234502,0.0,15.66666666666667,30.985572683990874,40.0
13,36.248337819698015,40,0,0.5177113036254719,0.0,21.666666666666664,30.514600157200896,40.0
14,14.771943454966678,16,1,0.9384160064392327,1.0,13.999999999999996,14.394787956125043,16.0
15,22.920276842009454,25,1,0.561805244286736,1.0,8.333333333333332,23.867704824202136,25.0
16,33.06449095389417,40,0,0.5000000000000003,0.0,13.66666666666666,20.57517441043644,40.0
17,11.775644137457856,13,1,1.7476768590565699,1.0,10.0,11.65866551546696,13.0
18,34.58525178064098,40,0,0.7499968869722339,0.0,35.33333333333333,20.861360844070393,40.0
19,8.278402249837997,10,1,1.8508788318669969,1.0,4.666666666666666,7.377341770225824,10.0
20,37.67900970298356,40,0,0.5250113779199723,0.0,14.999999999999996,37.54628638618839,40.0
21,8.301864897042504,10,1,1.4761356561302956,1.0,7.000000000000001,6.881993363909391,10.0
22,36.94594673077739,40,0,0.7499999999999997,0.0,27.000000000000004,31.797300240415222,40.0
23,12.809505900203389,15,1,1.0748824808146675,1.0,4.666666666666667,11.868980459096043,15.0
24,38.023504095609,40,0,0.5000036450075722,0.0,38.00000000000001,33.08814035853379,40.0
25,31.320268500537324,34,1,0.4742128600109378,1.0,26.333333333333336,28.367673543681644,34.0
26,32.88486320914561,40,0,0.5000000000000003,0.0,33.0,15.068237034296006,40.0
27,32.17867408807301,40,0,0.5000005293250184,0.0,36.33333333333333,11.586694496940403,40.0
28,36.000596717133625,38,1,0.6376446464505412,1.0,21.0,37.25223768925115,38.0
29,24.606155987399543,27,1,0.7344769151044004,1.0,19.666666666666668,22.356418286081617,27.0
30,35.79858975916298,40,0,0.5000000005312014,0.0,34.666666666666664,25.578044930194526,40.0
31,6.928637213512827,8,1,1.3843165351232956,1.0,8.0,6.482389550673101,8.0
32,30.361594648373842,36,1,0.447867701120755,1.0,24.0,20.355979931401887,36.0
33,32.0129295483444,35,1,0.4863875124180204,1.0,16.666666666666664,30.881819139624824,35.0
34,31.610904283046786,40,0,0.7498928805419502,0.0,34.66666666666666,9.874224394758757,40.0
35,19.327007151619277,21,1,1.1224294304573605,1.0,10.666666666666666,19.809610151905623,21.0
36,10.904356758854822,12,1,1.0971383549336167,1.0,12.0,10.391337845705591,12.0
37,30.693379148229553,33,1,0.4560107502327402,1.0,17.000000000000004,30.850171805860832,33.0
38,11.461710847035702,13,1,0.7195343313801168,1.0,10.0,10.48141567638389,13.0
39,17.475679641945444,19,1,0.65565049909017,1.0,12.666666666666668,17.36713199062875,19.0
40,37.164963251825775,40,0,0.6250000000000113,0.0,31.666666666666668,31.451945527680014,40.0
41,13.178213934553687,14,1,1.8666666666595353,1.0,13.666666666666668,13.501635587909666,14.0
42,6.258155070835322,8,1,1.7556147667265907,1.0,0.3333333333333333,5.8847481822991226,8.0
43,21.498237418535055,23,1,0.804731228722168,1.0,21.0,20.368390319506457,23.0
44,8.393503360381139,10,1,1.727489688636171,1.0,0.3333333333333333,8.892304268095934,10.0
45,35.56623701388605,40,0,0.7499999999999339,0.0,37.99999999999999,23.87338880207267,40.0
46,39.27592700796029,40,0,0.749999999935721,0.0,35.66666666666667,38.36805961318446,40.0
47,17.304908096775083,19,1,1.3754385964910747,1.0,11.666666666666666,16.976738696239906,19.0
48,32.0420229777622,36,1,0.33985749345659777,1.0,19.333333333333332,27.8242528332749,36.0
49,20.96719516832917,23,1,0.7510824801367246,1.0,9.0,21.376981881234407,23.0
50,30.288023722398496,32,1,0.8749999999999996,1.0,19.666666666666668,31.16342229232769,32.0
51,32.26036043521488,40,0,0.5005172043762743,0.0,29.66666666666666,13.559684965389113,40.0
52,36.31515082090904,38,1,0.4650200916087256,1.0,29.333333333333336,36.34848224507553,38.0
53,19.020343226614962,20,1,1.1359899585577187,1.0,18.666666666666664,19.15962043313944,20.0
54,6.740170038770301,8,1,3.499999522727268,1.0,0.3333333333333333,7.692304312055294,8.0
