episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
2,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
3,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
4,2.0,8,1,0.6940808126918842,1.0,0,7.0,8.0
5,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
6,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
7,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
8,-2.0,4,1,1.2959322728047944,1.0,0,3.0,4.0
9,0.0,5,1,1.8000291467953815,1.0,0,5.0,5.0
10,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
11,11.0,11,0,0.8181818185117629,0.0,0,11.0,11.0
12,1.0,7,1,0.8498955307966218,1.0,0,6.0,7.0
13,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
14,-1.0,5,1,0.7865796854583,1.0,0,4.0,5.0
15,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
16,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
17,-0.8412489806858243,5,1,1.4635004077256701,1.0,0,4.158751019314176,5.0
18,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
19,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
20,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
21,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
22,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
23,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
24,-1.0,4,1,2.2502132007174556,1.0,0,4.0,4.0
25,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
26,-1.5795298924180106,4,1,1.9602350537909945,1.0,0,3.420470107581989,4.0
27,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
28,0.4200137284523979,6,1,1.306671242817466,1.0,0,5.420013728452398,6.0
29,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
30,-2.0,4,1,0.9835420553589433,1.0,0,3.0,4.0
31,0.0,5,1,1.8000291467953815,1.0,0,5.0,5.0
32,-1.0,5,1,0.9029487625192107,1.0,0,4.0,5.0
33,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
34,0.0,6,1,0.9915493977308444,1.0,0,5.0,6.0
35,3.0,9,1,0.5016118477496653,1.0,0,8.0,9.0
36,0.0,6,1,1.1382568970581082,1.0,0,5.0,6.0
37,0.4200137284523979,6,1,1.306671242817466,1.0,0,5.420013728452398,6.0
38,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
39,-1.0,5,1,0.8427577173414085,1.0,0,4.0,5.0
40,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
41,-1.0,5,1,0.7865796854583,1.0,0,4.0,5.0
42,1.0,6,1,1.500004150703673,1.0,0,6.0,6.0
43,1.0,7,1,0.4893959943314115,1.0,0,6.0,7.0
44,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
45,-1.0,5,1,1.3659376503341758,1.0,0,4.0,5.0
46,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
47,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
48,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
49,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
50,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
51,0.0,6,1,1.1382568970581082,1.0,0,5.0,6.0
52,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
53,1.0,6,1,1.500004150703673,1.0,0,6.0,6.0
54,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
55,0.0,6,1,0.6554469057353081,1.0,0,5.0,6.0
56,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
57,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
58,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
59,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
60,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
61,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
62,0.15868108154168592,6,1,1.2195603605138954,1.0,0,5.158681081541686,6.0
63,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
64,-0.5799196641452298,5,1,1.5680321343419081,1.0,0,4.42008033585477,5.0
65,-0.8412489806858243,5,1,1.4635004077256701,1.0,0,4.158751019314176,5.0
66,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
67,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
