episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,10.0,10,0,0.5268997077056023,0.0,0,9.0,10.0
2,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
3,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
4,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
5,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
6,2.0,13,0,0.0002865889173873494,0.0,0,2.0,13.0
7,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
8,7.488254509912422,11,0,0.8158612185502385,0.0,0,7.475491211938734,11.0
9,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
10,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
11,0.0,6,1,0.7524244989429324,1.0,0,5.0,6.0
12,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
13,8.617422832245097,10,0,0.5265815267037912,0.0,0,7.617422832245096,10.0
14,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
15,8.47358191928728,13,0,0.4049706909107552,0.0,0,7.473581919287281,13.0
16,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
17,8.61564537938706,10,0,0.8999907103512642,0.0,0,8.615598931143381,10.0
18,10.0,10,0,0.5268997077056023,0.0,0,9.0,10.0
19,-1.0,5,1,1.001519985856853,1.0,0,4.0,5.0
20,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
21,7.6159171841943385,9,0,0.585383716244786,0.0,0,6.6159171841943385,9.0
22,0.0,6,1,0.9915493977308444,1.0,0,5.0,6.0
23,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
24,-2.0,8,1,0.43088902959046405,1.0,0,3.0,8.0
25,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
26,1.0,7,1,0.5243527077654714,1.0,0,6.0,7.0
27,0.0,6,1,0.9254467534884429,1.0,0,5.0,6.0
28,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
29,9.0,9,0,0.5854441311222204,0.0,0,8.0,9.0
30,0.5513861041365171,13,0,0.6232901698671565,0.0,0,0.5513861041365171,13.0
31,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
32,8.617422832245097,10,0,0.8996818211220281,0.0,0,8.615831937855237,10.0
33,-1.0,6,1,0.46461187750182154,1.0,0,4.0,6.0
34,0.0,6,1,0.6554469057353081,1.0,0,5.0,6.0
