episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,0.0,6,1,0.7022636544702764,1.0,0,5.0,6.0
2,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
3,-1.0,5,1,1.2748792735916255,1.0,0,4.0,5.0
4,0.0,6,1,0.6117513149941564,1.0,0,5.0,6.0
5,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
6,0.4200137284523979,6,1,1.306671242817466,1.0,0,5.420013728452398,6.0
7,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
8,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
9,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
10,7.6159171841943385,9,0,0.9999395989317157,0.0,0,7.615645379387059,9.0
11,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
12,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
13,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
14,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
15,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
16,0.0,6,1,0.6554469057353081,1.0,0,5.0,6.0
17,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
18,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
19,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
20,3.0,13,0,5.038071879086754e-08,0.0,0,3.0,13.0
21,1.0,7,1,0.5618063361259592,1.0,0,6.0,7.0
22,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
23,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
24,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
25,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
26,7.475491573760404,11,0,0.8177852552810644,0.0,0,7.473310477806258,11.0
27,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
28,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
29,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
30,0.0,6,1,0.5475560106744237,1.0,0,5.0,6.0
31,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
32,5.0,6,1,0.8061683011223192,1.0,0,5.0,5.0
33,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
34,-1.0,4,1,2.2502132007174556,1.0,0,4.0,4.0
35,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
36,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
37,1.0,7,1,0.5618063361259592,1.0,0,6.0,7.0
38,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
39,0.70001307471657,6,1,1.4000043582388566,1.0,0,5.70001307471657,6.0
40,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
41,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
42,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
43,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
44,7.6159171841943385,9,0,0.9999395989317157,0.0,0,7.615645379387059,9.0
45,-1.0,5,1,1.2748792735916255,1.0,0,4.0,5.0
46,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
47,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
48,-1.0,5,1,1.2748792735916255,1.0,0,4.0,5.0
49,1.0,6,1,1.500004150703673,1.0,0,6.0,6.0
50,0.0,6,1,0.9915493977308444,1.0,0,5.0,6.0
51,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
52,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
53,-1.0,5,1,0.6844529702944486,1.0,0,4.0,5.0
54,-2.0,4,1,1.7076369245823493,1.0,0,3.0,4.0
55,0.0,6,1,0.7022636544702764,1.0,0,5.0,6.0
56,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
57,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
58,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
59,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
60,0.0,5,1,1.8000291467953815,1.0,0,5.0,5.0
61,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
62,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
63,0.0,6,1,0.6554469057353081,1.0,0,5.0,6.0
64,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
65,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
66,6.161528230098687,13,0,0.6835811327346202,0.0,0,6.161528230098687,13.0
67,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
68,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
69,-1.0,5,1,1.2748792735916255,1.0,0,4.0,5.0
70,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
71,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
72,-1.0,5,1,1.0365368856868415,1.0,0,4.0,5.0
73,-1.5795298924180106,4,1,1.9602350537909945,1.0,0,3.420470107581989,4.0
74,2.7000003818181852,8,1,1.0500000954545463,1.0,0,7.700000381818185,8.0
75,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
76,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
77,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
78,9.615598931143381,11,0,0.8181803750075701,0.0,0,9.615590993685018,11.0
79,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
80,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
81,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
82,1.0,7,1,0.5243527077654714,1.0,0,6.0,7.0
83,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
84,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
85,2.1586670876212164,8,1,0.9146667719053041,1.0,0,7.158667087621216,8.0
