episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,13.689567778694581,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
2,12.277480700709319,16,0,1.2500000066371628,0,16.0,3.206110008262088,0
3,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
4,15.078456667827869,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
5,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
6,13.772901110842113,15,0,1.3333333749675247,0,15.0,4.706109997579025,0
7,12.277480700709319,16,0,1.2500000066371628,0,16.0,3.206110008262088,0
8,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
9,12.633051223200395,15,0,1.333333374962519,0,15.0,4.206109997580573,0
10,12.577495668824753,15,0,1.3333333406145316,0,15.0,3.706110008199771,0
11,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
12,13.801664795097844,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
13,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
14,14.225165465543828,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
15,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
16,9.524864425660672,11,1,1.3797797348073884,1,11.0,2.7237798309460626,0
17,13.689567778694581,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
18,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
19,13.8572203506534,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
20,12.577495660747159,15,0,1.3333335757586096,0,15.0,3.706109935501448,0
21,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
22,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
23,12.633051223206111,15,0,1.333333374796114,0,15.0,4.206109997632023,0
24,12.133616406482794,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
25,10.14802045382466,12,1,1.3550617304448354,1,12.0,0.3321840844219176,0
26,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
27,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
28,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
29,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
30,15.106234445605647,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
31,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
32,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
33,13.801664795097844,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
34,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
35,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
36,13.911789999696543,15,0,1.3333333759705819,0,15.0,5.206109997268918,0
37,12.277480700709319,16,0,1.2500000066371628,0,16.0,3.206110008262088,0
38,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
39,13.8572203506534,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
40,14.225165465543828,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
41,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
42,13.801664795097844,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
43,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
44,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
45,11.892018717516347,14,1,0.9443274623364871,1,14.0,0.02816845764710718,0
46,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
47,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
48,12.133616406482794,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
49,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
50,11.952530741900874,14,1,1.3333333333798711,1,14.0,0.5727766771078449,0
51,12.633051223200395,15,0,1.333333374962519,0,15.0,4.206109997580573,0
52,9.496377831065997,11,1,0.6920959660981466,1,11.0,2.4674004795939757,0
53,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
54,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
55,15.106234445605647,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
56,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
57,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
58,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
59,13.8572203506534,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
60,13.8572203506534,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
61,12.605838628705017,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
62,14.225165465543828,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
63,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
64,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
65,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
66,15.022901112272312,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
67,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
68,15.022901112272312,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
69,12.133616406482794,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
70,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
71,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
72,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
73,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
74,12.577495669026211,15,0,1.3333333347498704,0,15.0,3.70611001001292,0
75,13.8572203506534,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
76,15.022901112272312,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
77,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
78,15.106234445605647,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
79,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
80,13.689567778694581,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
81,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
82,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
83,12.577495660747159,15,0,1.3333335757586096,0,15.0,3.706109935501448,0
84,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
85,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
86,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
87,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
88,13.911789999696543,15,0,1.3333333759705819,0,15.0,5.206109997268918,0
89,12.078060850927239,17,0,1.1764705882354762,0,8.0,0.7061100104508008,0
90,13.772901111987567,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
91,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
92,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
93,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
94,13.856234445320903,15,0,1.3333333416225945,0,15.0,4.706110007888117,0
95,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
96,15.18956777893898,17,0,1.1764705882354762,0,17.0,0.7061100104508008,0
97,11.80789923960451,15,0,1.333333374796114,0,15.0,4.206109997632023,0
98,12.577495668830467,15,0,1.3333333404481267,0,15.0,3.7061100082512155,0
99,12.133616406482794,17,0,1.1764705882354762,0,9.0,0.7061100104508008,0
