episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
1,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
2,5.583333333333334,7,1,1.1428571428571428,1,0,3.5,7
3,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
4,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
5,1.9166666666666667,3,1,1.433176643588613,1,0,1.5,3
6,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
7,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
8,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
9,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
10,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
11,1.9166666666666667,3,1,1.433176643588613,1,0,1.5,3
12,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
13,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
14,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
15,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
16,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
17,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
18,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
19,5.583333333333334,7,1,0.9955555555555556,1,0,3.5,7
20,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
21,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
22,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
23,1.9166666666666667,3,1,1.433176643588613,1,0,1.5,3
24,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
25,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
26,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
27,5.583333333333334,7,1,1.1428571428571428,1,0,3.5,7
28,6.500000000000001,8,1,0.5374412413457299,1,0,4.0,8
29,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
30,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
31,6.500000000000001,8,1,0.43695963444523933,1,0,4.0,8
32,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
33,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
34,4.666666666666667,6,1,0.5437719895318535,1,0,3.0,6
35,9.250000000000002,11,1,0.4486986245001455,1,0,5.5,11
36,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
37,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
38,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
39,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
40,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
41,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
42,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
43,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
44,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
45,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
46,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
47,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
48,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
49,6.500000000000001,8,1,0.5016118252560146,1,0,4.0,8
50,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
51,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
52,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
53,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
54,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
55,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
56,6.500000000000001,8,1,0.46817103690561357,1,0,4.0,8
57,1.9166666666666667,3,1,1.433176643588613,1,0,1.5,3
58,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
59,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
60,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
61,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
62,9.250000000000002,11,1,0.7272727272727273,1,0,5.5,11
63,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
64,6.500000000000001,8,1,0.6169606086877001,1,0,4.0,8
65,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
66,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
67,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
68,6.500000000000001,8,1,0.40782899214889007,1,0,4.0,8
69,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
70,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
71,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
72,6.500000000000001,8,1,0.3806403926722974,1,0,4.0,8
73,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
74,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
75,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
76,6.500000000000001,8,1,0.43695963444523933,1,0,4.0,8
77,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
78,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
79,6.500000000000001,8,1,0.3806403926722974,1,0,4.0,8
80,4.666666666666667,6,1,0.5437719895318535,1,0,3.0,6
81,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
82,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
83,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
84,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
85,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
86,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
87,1.9166666666666667,3,1,1.3376315340160387,1,0,1.5,3
88,5.583333333333334,7,1,1.0666666666666667,1,0,3.5,7
89,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
90,4.666666666666667,6,1,0.5437719895318535,1,0,3.0,6
91,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
92,6.500000000000001,8,1,0.40782899214889007,1,0,4.0,8
93,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
94,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
95,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
96,5.583333333333334,7,1,1.1428571428571428,1,0,3.5,7
97,1.9166666666666667,3,1,1.3376315340160387,1,0,1.5,3
98,6.500000000000001,8,1,0.5374412413457299,1,0,4.0,8
99,10.083333333333334,11,0,0.7272727272727273,0,0,5.5,11
100,4.666666666666667,6,1,0.6688157670080194,1,0,3.0,6
