episode,reward,length,time
1,1.864609,3,1.793022
2,4.330375,6,5.330896
3,2.77629,4,7.698104
4,28.532695,40,30.483262
5,11.981131,16,39.589473
6,14.756044,20,50.93479
7,1.922238,3,52.635217
8,12.953497,16,61.942388
9,9.420227,11,68.108624
10,29.937054,40,90.721327
11,6.00397,8,95.234149
12,4.174892,6,98.629348
13,1.906655,3,100.396106
14,2.109504,3,102.125092
15,22.149609,28,117.99894
16,7.905966,9,123.064575
17,21.221792,26,137.549877
18,6.058807,8,141.948698
19,4.549626,6,145.268108
20,18.26197,20,156.420908
21,7.978964,10,162.048365
22,4.215733,5,164.888005
23,9.492184,12,171.656969
24,18.237115,20,182.875226
25,4.438105,6,186.254732
26,11.579279,13,193.865665
27,12.350863,14,202.345412
28,9.52534,11,208.659662
29,5.527394,7,212.571698
30,7.839185,9,217.792351
31,1.839988,3,219.460001
32,7.728637,9,224.416103
33,5.794175,7,228.290414
34,5.727398,7,232.168387
35,20.729235,24,245.498334
36,1.203144,2,246.634985
37,7.549348,10,252.241384
38,19.462344,25,266.084784
39,3.705875,5,268.848067
40,6.286143,8,273.268735
41,3.664084,5,276.066026
42,7.173204,9,281.063445
43,11.978131,16,290.01193
44,21.373458,27,305.208591
45,4.582451,7,309.206728
46,5.572519,7,313.214996
47,14.003089,19,323.748418
48,3.908384,5,326.527442
49,30.427478,40,349.196596
50,1.603894,3,351.044715
51,4.243185,6,354.549024
52,2.770587,4,356.851139
53,29.982246,40,380.604935
54,29.249681,40,403.914731
55,29.222462,40,426.270693
56,29.425387,40,449.328695
57,13.512888,18,459.805169
58,8.136088,10,465.674786
59,24.449027,31,483.778945
60,11.238354,13,491.234466
61,7.840166,9,496.496896
62,27.051367,32,514.963075
63,10.111842,13,522.639405
64,26.237409,32,541.722398
65,11.623474,16,551.375712
66,14.998316,20,562.814843
67,7.704615,9,568.072188
68,10.051436,13,575.577593
69,30.427462,40,598.375938
70,4.726138,6,602.68889
71,27.777998,37,625.036005
72,2.57788,4,627.934145
73,17.934699,25,642.538105
74,12.12621,16,652.117843
75,11.556901,15,661.562153
76,16.490692,20,674.507133
77,6.151099,9,680.215703
78,2.928774,4,682.957646
79,29.599,37,706.096151
80,31.248562,40,731.335635
81,18.073764,24,746.656138
82,2.224236,4,749.433866
83,10.416033,12,757.213668
84,2.662108,4,760.044523
85,18.223901,24,775.946327
86,18.150415,22,790.616604
87,24.002822,32,811.11859
88,15.306009,20,824.062049
89,11.484315,14,833.116663
90,10.871899,14,841.924079
91,30.160815,40,865.946412
92,30.42624,40,889.473518
93,11.239768,14,897.770452
94,9.039302,12,905.029476
95,4.00403,6,908.618748
96,5.056595,7,912.977662
97,19.115137,25,928.269294
98,1.883201,3,930.077319
99,8.690141,13,937.753847
100,26.511351,36,959.228811
101,2.928774,4,961.606049
102,24.331995,32,980.782311
103,6.911232,9,986.364194
104,13.915087,18,997.160414
105,26.750989,35,1018.10761
106,30.292655,40,1041.879493
107,28.581672,40,1064.78087
108,31.217629,40,1087.315093
109,32.243236,40,1109.959819
110,20.376492,28,1125.805934
111,21.271362,29,1142.366457
112,30.160149,40,1165.117219
113,19.573203,24,1178.885376
114,7.334582,11,1185.601336
115,6.182919,9,1191.120282
116,19.462128,24,1205.922912
117,11.417686,14,1214.643176
118,21.48282,28,1232.297929
119,10.242644,13,1240.59806
120,27.160659,35,1262.587175
121,16.912476,23,1277.520584
122,4.315685,7,1281.910956
123,24.70975,31,1303.507868
124,12.111202,17,1316.054957
125,26.889014,35,1339.174545
126,31.266454,40,1365.063579
127,7.395525,10,1371.456715
128,17.662321,22,1385.413753
129,12.120654,14,1394.207529
130,18.539114,21,1407.385212
131,7.446253,9,1412.835251
132,16.756283,20,1425.793282
133,1.043882,2,1427.109054
134,12.129549,15,1437.187823
135,32.189996,40,1463.44157
136,11.173189,14,1472.647762
137,27.911331,39,1499.61462
138,24.689124,32,1524.143213
139,24.44914,34,1550.558446
140,11.91578,16,1563.267139
141,9.64457,13,1572.638167
142,6.802741,8,1580.313162
