episode,reward,length,time
1,-3.449877,12,2.084727
2,0.0,13,3.472425
3,-3.0,10,4.570687
4,-1.526176,8,5.454487
5,4.103944,13,6.566175
6,-4.382153,6,7.254421
7,-0.382068,6,8.055011
8,9.0,9,9.063776
9,11.0,11,10.362342
10,10.0,10,11.339859
11,9.0,9,12.279425
12,9.0,9,13.53916
13,8.616025,10,14.511172
14,-4.210284,1,14.652371
15,9.0,9,15.477563
16,0.0,6,16.146541
17,0.0,6,16.84723
18,0.0,6,17.545225
19,-1.0,5,18.133109
20,0.0,6,18.875651
21,1.0,7,19.532222
22,10.0,10,20.865229
23,0.0,6,21.526916
24,-0.299923,5,22.116329
25,0.0,6,22.684403
26,9.0,10,24.047501
27,1.0,7,24.696939
28,1.0,7,25.276843
29,10.0,10,26.190117
30,-0.57992,5,26.760914
31,9.0,9,27.445421
32,-1.0,5,27.961412
33,-1.0,5,28.368782
34,-0.841249,5,28.89408
35,9.0,9,29.648737
36,8.0,8,30.445256
37,0.0,6,30.98493
38,0.0,5,31.420042
39,-0.841249,5,31.837459
40,10.0,10,32.740624
41,9.0,10,33.681806
42,9.0,9,34.624497
43,0.420014,6,35.26982
44,9.0,9,36.119796
45,10.0,10,37.156671
46,8.681208,10,38.147395
47,9.0,9,38.935962
48,-2.0,4,39.368194
49,9.0,9,40.238814
50,0.0,6,40.837449
51,-0.841249,5,41.279635
52,10.0,10,42.263849
53,9.0,9,43.046842
54,0.0,6,43.49286
55,-1.0,5,43.931855
56,0.158681,6,44.591144
57,9.0,9,45.449659
58,9.0,9,46.512121
59,0.0,6,47.017604
60,9.0,9,47.923678
61,9.0,9,48.744522
62,8.0,8,49.612784
63,10.0,10,50.538886
64,-2.0,4,50.921094
65,8.633113,10,51.863885
66,9.0,9,52.693382
67,-1.0,5,53.212332
68,0.0,6,53.86574
69,0.0,6,54.500364
70,0.0,6,55.18892
71,-1.0,5,55.741621
72,9.0,9,56.664403
73,10.0,10,57.74374
74,10.0,10,58.670701
75,10.0,10,59.728485
76,8.0,8,60.483701
77,0.158681,6,61.070844
78,-1.318719,6,61.683532
79,9.0,9,62.509508
80,-1.0,5,63.013014
81,9.0,9,63.998599
82,-4.0,2,64.153757
83,-1.0,5,64.569081
84,0.0,5,65.112134
85,9.0,9,66.01303
86,10.0,10,67.213037
87,9.0,9,68.140896
88,-5.0,1,68.260964
89,1.0,7,69.046677
90,-1.0,5,69.439142
91,10.0,10,70.204866
92,1.0,7,70.829416
93,0.0,6,71.575477
94,9.0,9,72.321167
95,0.0,5,72.877214
96,0.420014,6,73.49336
97,0.0,6,74.150538
98,8.0,8,74.833397
99,9.0,9,75.669094
100,-0.299923,5,76.246083
101,10.0,10,77.224176
102,9.0,9,78.030027
103,0.0,5,78.550365
104,1.0,7,79.189665
105,0.0,6,79.813794
106,9.0,9,80.78932
107,0.0,6,81.306503
108,9.0,9,82.05404
109,9.0,10,82.940416
110,9.0,9,83.822228
111,-0.299923,5,84.283449
112,8.0,8,85.147707
113,10.0,10,86.226482
114,0.420014,6,86.806452
115,-1.299552,4,87.267758
116,0.0,6,87.871802
117,-1.299552,4,88.368856
118,0.0,6,89.121598
119,9.0,9,89.979002
120,-1.0,5,90.536928
121,-2.0,4,90.968211
122,8.0,8,91.749642
123,10.0,10,92.663924
124,9.0,9,93.593514
125,0.0,6,94.034184
126,0.0,6,94.622367
127,10.0,10,95.741944
128,9.0,9,96.512906
129,9.0,9,97.55275
130,-1.0,5,98.01132
131,9.0,9,98.954624
132,-0.299923,5,99.41343
133,0.0,5,99.940017
134,-1.299552,4,100.424086
135,-1.0,5,100.995204
136,-3.0,3,101.318588
137,1.0,7,101.960535
138,10.0,10,103.043906
139,8.0,8,103.799974
140,9.0,9,104.579858
141,9.0,9,105.425155
142,10.0,10,106.453146
143,7.552044,10,107.444549
144,10.0,10,108.39391
145,-1.0,5,108.831258
146,0.0,5,109.282791
147,0.0,5,109.74366
148,9.0,9,110.725506
149,-1.0,5,111.362102
150,10.0,10,112.504508
151,3.0,8,113.338819
152,0.0,6,114.010707
153,3.0,9,115.045794
154,0.0,6,115.611372
155,9.0,9,116.525301
156,0.0,6,117.187736
157,-1.299552,4,117.586161
158,0.0,6,118.176988
159,8.0,8,119.01738
160,0.0,6,119.728728
161,9.0,9,120.677001
162,-0.841249,5,121.155715
163,9.0,9,121.959522
164,0.0,5,122.427187
165,0.0,5,122.838562
166,1.0,7,123.423461
167,0.0,6,124.112669
168,9.0,9,125.045556
169,-1.0,5,125.601295
170,9.0,9,126.567016
171,9.0,9,127.39451
172,-1.0,5,127.845589
173,10.0,10,129.111601
174,9.0,9,129.996924
175,10.0,10,130.986942
176,-1.0,5,131.498447
177,0.0,6,132.09169
178,8.0,8,132.794261
179,9.0,9,133.762969
180,10.0,10,135.028871
181,-1.84084,4,135.509936
182,9.0,9,136.351339
183,9.0,9,137.196251
184,8.0,8,138.060469
185,9.0,9,138.905769
186,-1.0,5,139.425193
187,10.0,10,140.444249
188,-0.299923,5,141.040797
189,10.0,10,142.079113
190,0.0,6,142.797687
191,9.0,9,143.733113
192,-1.0,5,144.236207
193,9.0,9,145.065328
194,0.0,6,145.727646
195,-0.299923,5,146.229482
196,9.0,9,146.998383
197,0.0,5,147.544919
198,1.0,7,148.331986
199,0.0,6,148.946315
200,9.0,9,149.765793
201,9.0,9,150.561248
202,-0.299923,5,151.08994
203,1.420002,7,151.808822
204,1.700002,7,152.542285
205,0.0,6,153.292525
206,-0.299923,5,153.775974
207,0.0,6,154.257748
208,0.0,6,154.833016
209,9.0,9,155.611205
210,9.0,9,156.583776
211,9.0,9,157.535713
212,9.0,9,158.317759
213,-1.0,5,158.920862
214,10.0,10,160.03096
215,8.0,8,160.692005
216,-1.0,5,161.079121
217,0.0,5,161.514976
218,-3.0,3,161.880561
219,0.0,6,162.504145
220,-0.841249,5,163.047168
221,10.0,10,164.104337
222,-1.0,5,164.662977
223,-1.0,5,165.258844
224,-0.299923,5,165.680435
225,0.0,6,166.41737
226,10.0,10,167.405228
227,8.0,8,168.194213
228,-4.0,2,168.451727
229,9.0,9,169.356909
230,9.0,9,170.18466
231,0.420014,6,170.767892
232,0.0,6,171.424897
233,10.0,10,172.422148
234,9.0,9,173.402143
235,-2.0,4,173.728143
236,-1.0,5,174.288486
237,9.0,9,175.182678
238,-0.841249,5,175.584807
239,0.0,5,176.115354
240,2.0,8,177.013762
241,-1.0,5,177.532049
242,0.0,6,178.166794
243,8.0,8,179.164359
244,9.0,9,180.093005
245,0.0,6,180.755631
246,9.0,9,181.561041
247,9.0,9,182.474854
248,-1.0,5,182.931823
249,10.0,10,184.005764
250,10.0,10,185.33069
251,9.0,9,186.563515
252,0.0,6,187.118999
253,8.0,8,187.976711
254,-1.0,5,188.536282
255,0.0,6,189.148626
256,0.0,6,189.798365
257,0.0,6,190.263083
258,9.0,9,191.164563
259,9.0,9,192.073766
260,9.0,9,192.870342
261,9.0,9,193.751229
262,-0.841249,5,194.338767
263,8.0,8,195.200714
264,9.0,9,196.120377
265,0.0,6,196.749503
266,8.0,8,197.539448
267,0.0,6,198.360212
268,10.0,10,199.692735
269,10.0,10,200.91315
270,9.0,9,202.048983
271,-1.0,5,202.568014
272,-0.57992,5,202.980932
273,9.0,9,203.840814
274,-1.0,5,204.414436
275,10.0,10,205.442449
276,9.0,9,206.313756
277,9.0,9,207.243387
278,9.0,9,208.368789
279,-0.841249,5,208.856437
