episode,reward,length,time
1,5.668838,7,0.833179
2,8.854783,11,1.263225
3,5.068036,6,1.516674
4,11.140209,13,2.024928
5,3.130339,4,2.191585
6,6.634353,8,2.519926
7,6.014612,7,2.797103
8,4.827502,6,3.029677
9,4.070167,5,3.221985
10,12.995123,15,3.807734
11,12.051617,14,4.383267
12,11.580319,16,4.99518
13,10.964097,14,5.559395
14,11.681144,14,6.10858
15,13.729396,16,6.715492
16,13.746109,17,7.405294
17,15.217346,17,8.067134
18,15.217346,17,8.748484
19,15.189568,17,9.383453
20,15.245123,17,10.049428
21,15.189568,17,10.714932
22,14.356234,16,11.358241
23,12.689172,17,12.001
24,12.689172,17,12.67207
25,12.689172,17,13.328439
26,15.189568,17,13.990451
27,12.689172,17,14.656888
28,12.689172,17,15.312986
29,12.743105,17,15.986337
30,15.189568,17,16.660631
31,15.189568,17,17.33368
32,15.189568,17,17.999274
33,15.189568,17,18.694464
34,15.189568,17,19.370806
35,12.689172,17,20.050633
36,12.689172,17,20.731121
37,11.952531,14,21.275829
38,12.605839,17,21.954871
39,12.689172,17,22.631656
40,15.189568,17,23.333983
41,15.189568,17,24.012221
42,12.689172,17,24.709127
43,15.189568,17,25.399868
44,15.189568,17,26.082855
45,12.689172,17,26.779865
46,12.82667,15,27.386385
47,12.689172,17,28.084955
48,15.245123,17,28.790745
49,15.189568,17,29.51198
50,12.71695,17,30.209856
51,12.689172,17,30.894857
52,12.689172,17,31.591264
53,10.160926,12,32.072778
54,15.245123,17,32.784561
55,6.620004,8,33.120091
56,15.189568,17,33.817921
57,15.189568,17,34.50903
58,14.430074,17,35.199886
59,12.19143,16,35.888423
60,15.245122,17,36.598865
61,15.189568,17,37.280633
62,15.189568,17,37.987792
63,12.689172,17,38.670281
64,15.189568,17,39.389934
65,15.189568,17,40.093922
66,11.049815,13,40.617709
67,15.189568,17,41.32988
68,13.579443,17,42.032266
69,12.689172,17,42.751558
70,15.245123,17,43.466959
71,12.689172,17,44.183646
72,12.744728,17,44.870472
73,15.189568,17,45.586596
74,15.189568,17,46.286342
75,15.189568,17,47.016577
76,15.189568,17,47.729876
77,15.189568,17,48.434512
78,15.189568,17,49.166693
79,12.744728,17,49.897892
80,12.74468,17,50.689745
81,15.189568,17,51.489304
82,12.689172,17,52.565209
83,15.189568,17,53.672497
84,13.947388,17,54.611496
85,15.189568,17,55.348093
86,12.662148,15,55.982956
87,11.902511,14,56.784061
88,12.249703,16,57.838808
89,15.189568,17,59.000235
90,15.16179,17,60.162895
91,14.467346,16,60.859111
92,15.189568,17,61.630719
93,12.925798,15,62.274887
94,12.689172,17,63.046502
95,15.189568,17,63.868657
96,15.189568,17,64.724439
97,15.189568,17,65.541152
98,15.189568,17,66.334751
99,15.189568,17,67.122863
100,15.189568,17,67.860731
101,15.189568,17,68.630718
102,15.189568,17,69.355424
103,12.689172,17,70.058475
104,12.689172,17,70.790497
105,12.689172,17,71.502401
106,12.689172,17,72.22692
107,13.891832,17,72.933604
108,15.189568,17,73.650364
109,15.244846,17,74.388164
110,12.689172,17,75.109807
111,15.189568,17,75.812832
112,12.689172,17,76.52513
113,12.689172,17,77.266055
114,15.189568,17,77.98544
115,15.189568,17,78.713508
116,15.189568,17,79.435397
117,12.689172,17,80.166235
118,12.689172,17,80.874482
119,15.189568,17,81.599847
120,15.189568,17,82.31645
121,12.744728,17,83.032123
122,12.689172,17,83.756525
123,15.189568,17,84.469364
124,12.689172,17,85.225222
125,12.689172,17,85.941538
126,12.689172,17,86.649635
127,15.189568,17,87.404722
128,10.160926,12,87.927203
129,15.189568,17,88.653607
130,12.689172,17,89.394195
131,12.744728,17,90.125913
132,12.689172,17,90.864668
133,12.689172,17,91.59632
134,12.689172,17,92.331387
135,12.689172,17,93.057679
136,15.189568,17,93.806057
137,12.689172,17,94.567319
138,15.189568,17,95.312299
139,15.189568,17,96.076718
140,15.189568,17,96.805028
141,15.189568,17,97.554881
142,12.689172,17,98.307043
143,15.189568,17,99.067073
144,12.689172,17,99.856745
145,15.189568,17,100.603119
146,15.189568,17,101.360392
147,15.189568,17,102.108025
148,12.689172,17,102.854777
149,15.189568,17,103.623996
150,12.689172,17,104.357384
151,12.689172,17,105.109527
152,12.744728,17,105.848445
153,15.189568,17,106.619907
154,12.689172,17,107.36697
155,14.592465,17,108.082289
156,14.884012,17,108.925819
157,15.189568,17,109.668571
158,15.189568,17,110.399905
159,12.013622,14,111.033916
160,12.689172,17,111.773725
161,12.689172,17,112.529152
162,12.689172,17,113.270733
163,15.189568,17,113.999942
164,15.189568,17,114.757306
165,12.689172,17,115.477792
166,15.189568,17,116.226557
167,12.689172,17,117.001654
168,12.689172,17,117.966599
169,15.189568,17,118.691927
170,15.189568,17,119.452586
171,12.19143,16,120.141514
172,15.189568,17,120.869869
173,12.689172,17,121.60556
174,12.689172,17,122.334471
175,11.013622,13,122.914463
176,12.689172,17,123.652957
177,15.189568,17,124.372455
178,10.071384,12,124.921771
179,15.189568,17,125.658263
180,12.689172,17,126.386369
181,15.189568,17,127.116151
182,15.189568,17,127.842134
183,12.689172,17,128.553958
184,11.00313,13,129.110489
185,15.189568,17,129.862059
186,12.689172,17,130.590471
187,12.689172,17,131.335845
188,12.689172,17,132.068796
189,8.358474,11,132.557167
190,12.689172,17,133.312192
191,12.689172,17,134.051799
192,15.189568,17,134.807833
193,15.189568,17,135.558296
194,15.189568,17,136.341299
195,12.689172,17,137.075241
196,12.689172,17,137.845615
197,15.189568,17,138.596505
198,12.689172,17,139.343402
199,10.975666,13,139.928782
200,12.689172,17,140.660951
201,12.689172,17,141.421845
202,15.189568,17,142.150756
203,12.689172,17,142.902138
204,15.189568,17,143.652717
205,15.189568,17,144.409983
206,11.864555,14,145.03491
207,12.689172,17,145.750874
208,15.189568,17,146.497537
209,12.689172,17,147.23715
210,12.689172,17,147.99971
211,15.189568,17,148.82756
212,15.189568,17,149.57993
213,15.189568,17,150.36679
214,15.189568,17,151.12518
215,15.189568,17,151.906088
216,15.189568,17,152.665249
217,12.689172,17,153.494081
218,15.189568,17,154.294234
219,12.689172,17,155.040443
220,15.189568,17,155.832342
221,10.967704,13,156.397374
222,15.189568,17,157.1699
223,12.689172,17,157.918131
224,12.689172,17,158.652689
225,15.189568,17,159.429653
226,12.689172,17,160.161446
227,15.189568,17,160.93
228,12.689172,17,161.682966
229,15.189568,17,162.44156
230,15.189568,17,163.208506
231,15.245123,17,163.958593
232,15.189568,17,164.723969
233,15.189568,17,165.495546
234,15.189568,17,166.263355
235,15.189568,17,167.015539
236,12.689172,17,167.7397
237,15.189568,17,168.528531
238,15.189568,17,169.273693
239,15.189568,17,170.055118
240,15.189568,17,170.802213
241,12.689172,17,171.56601
242,15.189568,17,172.308477
243,12.689172,17,173.067846
244,12.689172,17,173.863067
245,12.689172,17,174.655468
246,12.689172,17,175.455472
247,12.689172,17,176.21909
248,12.689172,17,177.012665
249,15.189568,17,177.778932
250,12.689172,17,178.689122
251,12.689172,17,179.457988
252,15.189568,17,180.23054
253,15.189568,17,181.015783
254,12.689172,17,181.781481
255,15.189568,17,182.553735
256,15.189568,17,183.330555
257,15.189568,17,184.128783
258,12.689172,17,184.940127
259,12.689172,17,185.708636
260,15.189568,17,186.50848
261,12.689172,17,187.262233
262,15.189568,17,188.046249
263,15.189568,17,188.840766
264,12.689172,17,189.628479
265,12.689172,17,190.431716
266,12.689172,17,191.222525
267,15.189568,17,192.03304
268,12.689172,17,192.841877
269,12.689172,17,193.618166
270,15.189568,17,194.442968
271,12.689172,17,195.247709
272,15.189568,17,196.08252
273,12.689172,17,196.881035
274,15.189568,17,197.711366
275,12.689172,17,198.524423
276,15.189568,17,199.359017
277,15.189568,17,200.159516
278,15.189568,17,200.940649
279,12.689172,17,201.74632
280,15.189568,17,202.561706
281,15.189568,17,203.404005
282,10.975666,13,204.011434
283,12.689172,17,204.801252
284,15.189568,17,205.638255
285,12.689172,17,206.449406
286,12.689172,17,207.268286
287,15.189568,17,208.083537
288,15.189568,17,208.921062
289,12.689172,17,209.714973
290,15.189568,17,210.536435
291,15.189568,17,211.39131
292,10.975666,13,212.002611
293,15.189568,17,212.851358
294,12.689172,17,213.665773
295,12.689172,17,214.51047
296,12.689172,17,215.329183
297,15.189568,17,216.136268
298,12.689172,17,216.969146
299,12.689172,17,217.807406
300,15.189568,17,218.660487
301,12.689172,17,219.483757
302,12.689172,17,220.323132
303,15.189568,17,221.157249
304,15.189568,17,222.013619
