episode,reward,length,time
1,9.166667,11,1.190992
2,2.875,4,1.446716
3,9.125,11,2.114
4,9.375,11,2.788407
5,9.166667,11,3.464854
6,9.166667,11,4.134988
7,9.125,11,4.809026
8,9.166667,11,5.486456
9,9.541667,11,6.155952
10,9.125,11,6.825757
11,9.125,11,7.498823
12,9.125,11,8.179029
13,9.125,11,8.853913
14,9.125,11,9.520001
15,9.083333,11,10.190263
16,9.166667,11,10.86259
17,9.166667,11,11.546774
18,9.5,11,12.220149
19,9.333333,11,12.880621
20,9.125,11,13.557853
21,9.583333,11,14.230991
22,9.666667,11,14.901542
23,10.083333,11,15.576817
24,10.041667,11,16.246895
25,9.333333,11,16.929982
26,9.25,11,17.610549
27,9.916667,11,18.290461
28,9.166667,11,19.005278
29,10.083333,11,19.693932
30,10.083333,11,20.382361
31,10.083333,11,21.080088
32,6.458333,8,21.572693
33,10.083333,11,22.273659
34,10.083333,11,22.956062
35,10.083333,11,23.641275
36,10.083333,11,24.346983
37,10.041667,11,25.077932
38,10.083333,11,25.807617
39,10.0,11,26.533058
40,10.083333,11,27.255399
41,10.083333,11,27.984889
42,10.083333,11,28.732335
43,10.083333,11,29.452736
44,10.083333,11,30.163592
45,10.083333,11,30.8707
46,10.083333,11,31.575007
47,10.083333,11,32.27591
48,5.583333,7,32.72849
49,9.75,11,33.44738
50,10.083333,11,34.156215
51,6.5,8,34.679645
52,10.083333,11,35.399539
53,10.083333,11,36.113671
54,5.583333,7,36.576838
55,10.083333,11,37.290025
56,1.916667,3,37.490279
57,5.583333,7,37.947332
58,10.083333,11,38.685947
59,10.083333,11,39.413129
60,9.25,11,40.134956
61,9.333333,11,40.841174
62,10.041667,11,41.56367
63,4.666667,6,41.957169
64,10.083333,11,42.667697
65,10.083333,11,43.399591
66,6.5,8,43.933567
67,10.083333,11,44.671008
68,10.083333,11,45.399755
69,4.666667,6,45.806657
70,10.083333,11,46.527649
71,10.083333,11,47.257182
72,10.083333,11,47.998238
73,10.083333,11,48.774846
74,10.083333,11,49.498175
75,10.083333,11,50.221981
76,10.083333,11,50.953564
77,10.083333,11,51.688667
78,10.083333,11,52.41861
79,10.083333,11,53.14966
80,5.583333,7,53.60929
81,10.083333,11,54.361603
82,10.083333,11,55.145729
83,10.083333,11,55.97747
84,1.916667,3,56.254577
85,5.583333,7,56.811049
86,10.083333,11,57.583114
87,10.083333,11,58.357832
88,10.083333,11,59.181861
89,10.083333,11,59.94434
90,10.041667,11,60.709661
91,4.666667,6,61.122141
92,10.083333,11,61.852645
93,10.083333,11,62.599247
94,10.083333,11,63.399049
95,10.083333,11,64.137454
96,10.083333,11,64.872764
97,10.083333,11,65.642852
98,10.083333,11,66.402047
99,10.083333,11,67.268584
100,10.083333,11,68.014837
101,10.083333,11,68.771899
102,10.083333,11,69.514723
103,4.666667,6,69.930825
104,10.083333,11,70.656411
105,10.083333,11,71.414214
106,6.5,8,71.962743
107,9.916667,11,72.697691
108,10.083333,11,73.492759
109,10.083333,11,74.280776
110,10.083333,11,75.063372
111,10.083333,11,75.836065
112,10.083333,11,76.589253
113,10.041667,11,77.350944
