episode,reward,length,time
1,9.94639,13,2.226432
2,4.106768,6,3.053754
3,19.509222,26,6.607977
4,7.151887,9,7.828126
5,6.24764,8,8.908629
6,4.351107,6,9.727122
7,6.795792,9,10.968901
8,2.465168,4,11.506801
9,9.975617,14,13.432706
10,6.023569,9,14.760107
11,4.97178,7,15.738368
12,5.310685,8,16.878284
13,1.068439,2,17.161243
14,4.709041,7,18.233372
15,12.800052,19,20.824767
16,5.397803,7,21.844478
17,3.61627,5,22.52761
18,16.117779,20,25.35982
19,13.057015,17,27.684144
20,8.573914,12,29.405978
21,19.04499,25,32.909606
22,30.454006,40,38.372484
23,11.598332,15,40.448656
24,7.835686,11,41.967173
25,5.836718,7,42.944065
26,8.884514,11,44.495533
27,18.17936,22,47.615523
28,3.637255,5,48.314377
29,3.860191,5,49.022884
30,12.812871,17,51.364395
31,1.86221,3,51.78786
32,9.43363,12,53.511478
33,15.06283,21,56.451402
34,8.616742,11,57.997947
35,21.214001,28,61.952364
36,31.632035,40,67.884221
37,6.859105,8,69.027891
38,2.66221,4,69.592554
39,8.087059,10,71.052959
40,12.608555,16,73.303662
41,1.709053,3,73.732509
42,3.487832,5,74.42618
43,1.709624,3,74.851365
44,12.079984,16,77.136311
45,19.90514,25,80.831055
46,2.750996,4,81.424633
47,6.459534,9,82.693485
48,10.041736,13,84.539226
49,11.416488,15,86.642645
50,18.704096,23,89.897834
51,20.549781,27,93.701316
52,20.752589,28,97.611597
53,25.837381,29,101.740859
54,3.18073,5,102.443602
55,7.995437,10,103.863773
56,5.594742,7,104.852968
57,3.198501,5,105.540977
58,5.413291,7,106.551002
59,32.61968,40,112.23106
60,2.551089,4,112.806771
61,4.593524,6,113.671086
62,1.671226,3,114.136519
63,10.506651,12,115.800145
64,14.237938,20,118.598685
65,15.5998,20,121.416713
66,2.711434,4,121.98736
67,12.768571,15,124.075926
68,15.972363,19,126.672398
69,2.906655,4,127.242923
70,2.017766,3,127.677348
71,0.954993,2,127.976706
72,0.93277,2,128.263131
73,9.191062,12,129.926035
74,15.523961,19,132.567329
75,25.941242,35,137.460124
76,10.323225,13,139.243605
77,8.058825,10,140.62895
78,3.332668,5,141.32364
79,9.465293,12,142.974326
80,7.754856,9,144.213091
81,7.002128,8,145.353556
82,9.59103,11,146.876276
83,7.640651,10,148.278105
84,12.376141,17,150.628972
85,1.820164,3,151.060446
86,5.03771,6,151.907449
87,33.104338,40,157.476699
88,17.304618,19,160.14132
89,1.687401,3,160.563897
90,12.525348,17,163.004877
91,9.039185,10,164.409332
92,6.400239,8,165.546103
93,5.532554,7,166.518448
94,14.993227,19,169.231395
95,6.881326,8,170.342643
96,4.665493,6,171.169251
97,18.3973,23,174.427667
98,4.623815,6,175.258121
99,5.755452,7,176.243066
100,7.410322,9,177.489725
101,16.816297,20,180.25534
102,2.840625,4,180.827971
103,24.079644,30,184.993442
104,4.681561,6,185.829289
105,1.731846,3,186.354414
106,9.443332,14,188.925137
107,9.039945,11,191.053533
108,1.708385,3,191.480742
109,21.699597,28,195.432632
110,6.639058,10,197.105509
111,8.482389,10,198.6982
112,6.866884,10,200.308866
113,5.776527,7,201.455848
114,11.838203,14,203.637733
115,1.86221,3,204.066371
116,6.226895,9,205.314526
117,9.839185,12,206.996709
118,1.860979,3,207.410607
119,9.0602,11,208.947899
120,17.903961,20,211.721539
121,30.609995,37,216.916734
122,9.015726,10,218.374737
123,14.592826,19,221.063245
124,5.617746,7,222.027553
125,2.087832,3,222.46085
126,1.883201,3,222.885737
127,2.089438,3,223.318119
128,6.265864,8,224.456275
129,15.677355,18,226.990926
130,18.298309,22,230.159487
131,6.242268,9,231.437489
132,1.839988,3,231.862977
133,12.240552,15,233.955489
134,31.023382,40,239.599064
135,19.637458,29,243.721428
136,1.710548,3,244.159131
137,1.915586,3,244.584566
138,17.75184,24,247.926957
139,16.699581,19,250.589023
140,6.549659,9,251.86397
141,6.882949,8,252.986264
142,5.399335,7,253.969429
