episode,reward,length,time
1,-4.395669,10,0.727659
2,3.207885,13,1.028457
3,7.242743,10,1.166524
4,0.0,13,1.311943
5,1.176489,13,1.65509
6,0.0,13,1.94007
7,-0.366834,6,2.084043
8,0.0,13,2.393455
9,-2.676484,6,2.577954
10,-2.729703,7,2.734775
11,0.158681,6,2.886436
12,-1.0,5,2.985435
13,-1.372771,5,3.04003
14,4.189439,13,3.403377
15,-3.779757,9,3.547606
16,-3.700395,9,3.745028
17,3.53632,13,4.047288
18,1.0,13,4.404832
19,-1.366575,6,4.544898
20,2.0,13,4.852635
21,-4.0,10,5.18402
22,5.475491,13,5.469424
23,-2.0,5,5.615356
24,-2.436558,6,5.684443
25,-1.52669,10,5.99656
26,1.0,13,6.456494
27,5.207893,13,6.842671
28,2.0,13,7.205063
29,-2.000061,6,7.349823
30,1.0,7,7.555278
31,5.0,13,7.987464
32,7.178945,12,8.304293
33,3.758862,13,8.603216
34,1.0,13,8.927787
35,-1.0,6,9.02253
36,2.297343,13,9.343146
37,4.457469,13,9.601019
38,-3.434136,6,9.733883
39,-0.31878,7,9.916883
40,6.681208,13,10.184758
41,-2.540286,13,10.406989
42,1.0,13,10.691475
43,5.11361,12,10.978155
44,-3.436985,6,11.088066
45,-3.0,4,11.150079
46,9.0,9,11.387864
47,-3.0,7,11.61905
48,-2.318366,6,11.788724
49,9.615573,11,12.136259
50,0.0,13,12.550795
51,-3.372844,6,12.654395
52,-0.382068,7,12.8071
53,6.089824,13,13.170739
54,8.306349,11,13.504882
55,-1.318719,6,13.628087
56,-1.0,5,13.770858
57,-5.0,1,13.818322
58,5.154216,13,14.264468
59,-2.0,4,14.379832
60,1.166033,13,14.723012
61,-1.379585,6,14.821748
62,-3.384489,9,15.079798
63,6.186932,11,15.361176
64,6.550375,11,15.60386
65,-1.0,5,15.769707
66,6.550267,11,16.008206
67,1.683703,13,16.370847
68,-2.524494,8,16.651243
69,-3.0,9,16.881701
70,-2.365057,5,17.06382
71,-2.0,6,17.254044
72,5.150131,13,17.725474
73,-2.0,6,17.926055
74,-2.0,9,18.183092
75,8.562942,12,18.567607
76,-1.318719,6,18.754905
77,8.0,8,18.999984
78,8.681208,10,19.167443
79,7.550194,10,19.400994
80,-3.631866,6,19.547223
81,-5.0,8,19.815566
82,-1.372771,6,19.955728
83,-0.373185,7,20.181802
84,6.959467,11,20.435903
85,1.473325,13,20.730846
86,7.18082,11,20.948919
87,-3.382507,6,21.037465
88,7.617435,10,21.353429
