episode,reward,length,time
1,7.730376,9,0.431227
2,7.174063,8,0.508002
3,5.916205,7,0.573909
4,3.209056,4,0.610491
5,4.04879,5,0.655398
6,6.756741,8,0.730093
7,4.040258,5,0.77689
8,4.088889,5,0.830447
9,13.384012,15,0.971179
10,6.885444,8,1.052155
11,6.802981,8,1.127498
12,7.409126,9,1.23493
13,4.222743,5,1.281757
14,6.256764,7,1.34876
15,6.961556,8,1.429497
16,5.596954,7,1.496349
17,5.177876,6,1.552876
18,5.616062,7,1.615723
19,11.663651,16,1.764792
20,10.17682,12,1.903042
21,5.040258,6,1.975247
22,4.689501,6,2.043023
23,4.15448,5,2.090384
24,4.98939,6,2.144942
25,4.086761,5,2.192184
26,5.743981,7,2.256345
27,4.170094,5,2.304273
28,6.347472,8,2.425091
29,8.511207,10,2.532569
30,7.484624,9,2.643954
31,6.959438,8,2.727309
32,4.220343,5,2.777996
33,5.177783,6,2.844901
34,8.331237,10,2.944281
35,7.762761,9,3.033185
36,8.175926,10,3.136137
37,4.043547,5,3.192221
38,5.024832,6,3.253487
39,4.280723,5,3.305609
40,7.375695,9,3.400108
41,10.583185,12,3.52236
42,4.080832,5,3.57372
43,11.785008,15,3.722393
44,4.997054,6,3.784795
45,6.560393,8,3.86757
46,5.974664,7,3.938804
47,3.213672,4,3.980542
48,8.418577,10,4.081597
49,5.827393,7,4.176143
50,7.309,9,4.268994
51,5.864043,7,4.348816
52,12.465446,14,4.496796
53,6.279677,7,4.576542
54,6.040984,7,4.646664
55,5.154658,6,4.708441
56,9.559929,11,4.823148
57,4.345926,5,4.874006
58,4.192565,5,4.927292
59,6.688533,8,5.00846
60,7.802969,9,5.104493
61,10.859155,14,5.241752
62,8.736774,11,5.351935
63,7.762465,9,5.443889
64,9.706326,11,5.559091
65,5.900905,7,5.631137
66,3.345926,4,5.691797
67,3.081454,4,5.734822
68,4.095721,5,5.785759
69,7.627619,9,5.881899
70,6.266741,7,5.953966
71,6.533852,8,6.032195
72,7.329143,9,6.126297
73,5.845814,7,6.202175
74,9.357615,11,6.314305
75,12.757887,15,6.468143
76,3.872004,5,6.520244
77,4.336278,5,6.573239
78,3.311111,4,6.616067
79,6.683153,8,6.698007
80,10.295846,12,6.818856
81,13.245076,15,6.998274
82,6.111283,7,7.066189
83,7.183835,8,7.151712
84,6.981523,8,7.231793
85,9.359231,11,7.346809
86,13.541177,15,7.492885
87,4.972241,6,7.55297
88,6.846431,8,7.63237
89,8.300612,11,7.747879
90,11.574097,15,7.898545
91,11.307899,15,8.053127
92,12.52193,15,8.222443
93,5.181071,6,8.289216
94,11.951266,16,8.458573
95,7.211613,8,8.566461
96,3.923385,5,8.617779
97,10.154833,12,8.736304
98,5.02636,6,8.798056
99,3.941499,5,8.850089
100,3.983663,5,8.899478
101,8.339907,10,9.003146
102,7.0585,8,9.086907
103,10.924487,12,9.210762
104,4.081454,5,9.263099
105,10.328071,13,9.422014
106,11.95939,16,9.60156
107,13.078457,15,9.761032
108,10.679051,12,9.890319
109,4.951209,6,9.949698
110,6.559493,8,10.036383
111,5.108165,6,10.09837
112,10.838533,15,10.271845
113,14.245123,16,10.438665
114,12.731783,14,10.582904
115,8.694658,10,10.684999
116,5.889426,7,10.755244
117,8.861168,10,10.85718
118,8.166999,9,10.947624
119,11.185217,15,11.096326
120,9.771291,12,11.214286
121,3.394444,4,11.255261
122,8.478162,10,11.357477
123,3.87688,5,11.41359
124,12.745123,14,11.552375
125,13.761785,15,11.713881
126,6.146285,7,11.805844
127,11.480865,14,11.942497
128,11.113399,15,12.09868
129,12.342248,15,12.251824
130,10.370964,12,12.377502
131,6.948685,8,12.455572
132,5.847562,7,12.525898
133,11.640818,16,12.692803
134,6.641101,8,12.773281
135,12.159772,17,12.940272
136,9.559985,13,13.069408
137,3.394444,4,13.11213
138,8.828815,11,13.224844
139,9.622357,12,13.364925
140,6.89853,8,13.449523
141,7.873496,9,13.542333
142,6.334061,8,13.623883
143,14.272568,16,13.788579
144,8.210563,10,13.890469
145,9.077954,12,14.01507
146,8.889891,11,14.132438
147,13.273259,16,14.298572
148,6.906961,8,14.39145
149,10.225621,13,14.528055
150,14.272901,17,14.702947
151,8.805916,11,14.834128
152,9.348445,11,14.953374
153,14.902296,17,15.138456
154,13.64802,16,15.308976
155,5.123127,6,15.377152
156,5.862554,7,15.453317
157,8.132766,10,15.558063
158,11.51854,15,15.707805
159,4.055584,5,15.7587
160,13.772901,16,15.919599
161,11.598326,16,16.100664
162,10.81973,13,16.234201
163,4.94853,6,16.300857
164,12.152494,14,16.448013
165,7.077592,9,16.547824
166,11.858097,16,16.714963
167,13.107172,16,16.87341
168,13.168958,15,17.032176
169,14.050632,16,17.200592
170,13.818963,17,17.417004
171,12.355273,15,17.580259
172,7.739129,10,17.71649
173,12.806981,16,17.896659
174,11.986606,14,18.046208
175,12.725118,15,18.207511
176,14.345118,17,18.441805
177,12.024764,16,18.651427
178,3.081454,4,18.697262
179,14.745123,17,18.885767
180,13.106234,15,19.039406
181,11.23587,16,19.235822
182,6.038924,7,19.306864
183,13.595118,16,19.520787
184,14.068907,16,19.684142
185,12.221925,16,19.847359
186,13.068953,14,19.995847
187,11.94143,16,20.157007
188,11.999656,16,20.318059
189,14.328456,17,20.497859
190,8.327566,11,20.613717
191,10.117739,12,20.766951
192,12.548661,17,20.936254
193,13.697332,16,21.099476
194,6.605525,8,21.181735
195,13.048778,15,21.351763
196,14.620949,16,21.569137
197,4.938534,6,21.64703
198,5.961203,7,21.72129
199,10.900218,14,21.862293
200,15.078457,17,22.042886
201,11.688501,14,22.18103
202,3.29037,4,22.222797
203,10.66771,14,22.36923
204,11.751157,15,22.539472
205,11.96695,17,22.712041
206,6.524604,8,22.794841
207,11.798119,15,22.940424
208,7.389477,9,23.036578
209,12.105264,15,23.185323
210,13.522901,15,23.33919
211,9.029917,12,23.464538
212,13.650395,15,23.622734
213,14.11117,16,23.791641
214,6.040257,7,23.864279
215,12.467345,14,24.030197
216,13.661782,16,24.196365
217,14.134012,16,24.373328
218,12.159495,17,24.554481
219,14.38401,16,24.723935
220,11.44471,15,24.873333
221,12.548661,17,25.042011
222,4.885517,6,25.103541
223,11.944147,16,25.265758
224,4.105214,5,25.31673
