episode,reward,length,time
1,6.208333,8,0.597684
2,9.291667,11,0.751684
3,3.041667,4,0.817655
4,9.416667,11,0.976808
5,8.791667,11,1.1315
6,9.458333,11,1.290183
7,4.791667,6,1.384472
8,9.5,11,1.537904
9,10.0,11,1.694649
10,10.166667,11,1.850248
11,1.875,3,1.896515
12,9.666667,11,2.062838
13,1.166667,2,2.097796
14,9.666667,11,2.254813
15,9.416667,11,2.411883
16,8.958333,11,2.569407
17,9.375,11,2.72779
18,10.333333,11,2.884973
19,1.041667,2,2.918623
20,1.125,2,2.950804
21,10.333333,11,3.108532
22,9.958333,11,3.2645
23,2.916667,4,3.326769
24,4.625,6,3.417048
25,4.958333,6,3.532052
26,1.083333,2,3.572621
27,10.75,11,3.751719
28,2.875,4,3.824273
29,9.666667,11,3.994486
30,9.833333,11,4.171163
31,4.958333,6,4.334753
32,9.25,11,4.512377
33,9.25,11,4.688882
34,5.583333,7,4.799936
35,10.0,11,4.978167
36,9.291667,11,5.152535
37,3.958333,5,5.238423
38,1.125,2,5.272491
39,9.708333,11,5.446067
40,10.041667,11,5.654302
41,6.625,8,5.783344
42,9.333333,11,5.95722
43,9.5,11,6.126572
44,9.833333,11,6.293847
45,10.583333,11,6.479904
46,10.75,11,6.655045
47,10.708333,11,6.833053
48,10.125,11,7.002109
49,10.041667,11,7.18376
50,1.125,2,7.220424
51,10.083333,11,7.387456
52,10.416667,11,7.57633
53,8.5,10,7.736042
54,9.791667,11,7.915277
55,10.291667,11,8.087411
56,10.25,11,8.264611
57,1.125,2,8.301946
58,8.958333,11,8.471767
59,9.5,11,8.636571
60,1.083333,2,8.671517
61,1.125,2,8.706054
62,10.666667,11,8.880251
63,10.125,11,9.047278
64,9.583333,11,9.216218
65,9.375,11,9.385477
66,10.375,11,9.554689
67,10.791667,11,9.72033
68,9.666667,11,9.888291
69,3.0,4,9.956516
70,1.125,2,9.990175
71,1.041667,2,10.025654
72,1.125,2,10.059878
73,1.166667,2,10.097063
74,9.708333,11,10.255307
75,4.041667,5,10.346354
76,1.166667,2,10.379922
77,10.083333,11,10.552333
78,10.625,11,10.722576
79,7.583333,9,10.868205
80,10.0,11,11.035714
81,3.541667,5,11.116519
82,2.041667,3,11.167612
83,1.083333,2,11.202361
84,9.541667,11,11.367803
85,7.333333,9,11.512308
86,10.791667,11,11.69558
87,9.833333,11,11.866592
88,9.958333,11,12.057297
89,10.791667,11,12.226646
90,10.708333,11,12.39963
91,10.708333,11,12.572643
92,9.541667,11,12.742124
93,10.625,11,12.914088
94,9.625,11,13.085007
95,1.083333,2,13.118092
96,9.375,11,13.28943
97,9.416667,11,13.459579
98,10.791667,11,13.631738
99,2.083333,3,13.681511
100,3.875,5,13.762941
101,9.833333,11,13.933397
102,10.25,11,14.099463
103,1.166667,2,14.136419
104,10.583333,11,14.300567
105,3.75,5,14.382628
106,9.375,11,14.551249
107,8.416667,10,14.711136
108,9.041667,11,14.874545
109,7.5,9,15.014562
110,10.666667,11,15.179486
111,9.708333,11,15.355666
112,10.791667,11,15.522414
113,6.333333,8,15.648394
114,7.416667,9,15.788803
115,10.333333,11,15.958834
116,5.833333,7,16.073156
117,9.875,11,16.242698
118,5.583333,7,16.353153
119,3.791667,5,16.436471
120,10.25,11,16.60438
121,1.041667,2,16.641757
122,9.916667,11,16.812123
123,4.708333,6,16.90875
124,10.708333,11,17.077653
125,1.041667,2,17.112017
126,1.083333,2,17.146932
127,9.291667,11,17.319804
128,9.125,11,17.491013
129,1.125,2,17.526867
130,9.25,11,17.696209
131,10.166667,11,17.868473
132,9.125,11,18.04059
133,1.083333,2,18.077429
134,10.458333,11,18.242451
135,10.083333,11,18.440837
136,9.083333,11,18.631003
137,1.125,2,18.665229
138,9.166667,11,18.908143
139,9.25,11,19.113688
140,7.791667,9,19.35574
141,1.125,2,19.430568
142,9.708333,11,19.673476
143,10.083333,11,19.849
144,9.916667,11,20.0199
145,10.625,11,20.192929
146,10.333333,11,20.362042
147,10.291667,11,20.540706
148,10.125,11,20.717037
149,10.583333,11,20.888847
150,9.833333,11,21.060275
151,10.0,11,21.232942
152,8.375,10,21.396545
153,9.333333,11,21.566536
154,5.125,6,21.668025
155,10.083333,11,21.840699
156,1.041667,2,21.875355
157,10.0,11,22.051623
158,10.041667,11,22.222604
159,10.083333,11,22.409628
160,10.25,11,22.581245
161,3.791667,5,22.663511
162,5.958333,7,22.791513
163,9.458333,11,22.963534
164,10.75,11,23.138975
165,9.75,11,23.312164
166,1.0,2,23.348568
167,9.625,11,23.522875
168,7.5,9,23.666689
169,9.166667,11,23.844614
170,9.333333,11,24.022814
171,10.25,11,24.194274
172,9.708333,11,24.368788
173,3.708333,5,24.451419
174,9.5,11,24.626998
175,10.083333,11,24.807753
176,9.375,11,24.980166
177,4.75,6,25.081557
178,9.458333,11,25.262221
179,1.916667,3,25.312321
180,9.958333,11,25.486064
181,10.416667,11,25.682205
182,5.583333,7,25.797471
183,9.833333,11,25.967524
184,9.166667,11,26.151287
185,9.333333,11,26.330402
186,10.416667,11,26.528109
187,10.75,11,26.701571
188,6.666667,8,26.839495
189,9.75,11,27.017487
190,6.625,8,27.147874
191,9.916667,11,27.325374
192,10.541667,11,27.500018
193,10.25,11,27.678298
194,9.833333,11,27.852434
