episode,reward,length,time
1,6.110685,9,1.581388
2,11.64566,17,3.841079
3,17.105648,23,6.951822
4,5.114328,7,7.908362
5,7.399266,9,9.131118
6,8.503374,11,10.625018
7,11.592135,14,12.576292
8,8.10753,10,13.948592
9,21.015883,26,17.507861
10,4.750966,6,18.348696
11,6.644977,8,19.431041
12,3.97809,5,20.138674
13,10.790388,14,22.033948
14,5.602741,7,23.032488
15,6.616987,8,24.12076
16,1.928877,3,24.544688
17,19.253992,25,27.988435
18,17.972416,24,31.221067
19,12.325338,14,33.131584
20,2.55489,4,33.71401
21,1.775052,3,34.129616
22,5.286805,7,35.090362
23,11.0015,16,37.281123
24,18.993536,26,40.894548
25,3.838085,5,41.569769
26,4.755665,7,42.537796
27,4.042957,6,43.36535
28,29.258257,36,48.325923
29,2.619202,4,48.880778
30,7.037842,10,50.314799
31,10.9452,14,52.242382
32,6.886669,10,53.602842
33,12.171953,17,55.921812
34,5.11303,8,57.015821
35,10.30843,15,59.070187
36,2.754993,4,59.616961
37,29.331837,40,65.073347
38,13.656283,15,67.080493
39,6.196385,8,68.171364
40,12.401096,17,70.477795
41,23.153756,31,74.68522
42,19.72144,25,78.107864
43,3.747693,5,78.795014
44,3.849512,5,79.478242
45,4.936133,6,80.560791
46,23.973244,30,84.729698
47,3.527378,5,85.417558
48,14.805108,18,87.900757
49,4.043081,6,88.723437
50,7.129485,9,89.96968
51,3.310291,5,90.676199
52,4.246142,6,91.482573
53,7.501206,9,92.733809
54,9.018432,12,94.386471
55,11.922918,14,96.36589
56,4.309033,6,97.189284
57,1.6,3,97.628069
58,31.25477,40,103.100126
59,5.501909,7,104.047756
60,1.736014,3,104.467362
61,15.970559,22,107.46095
62,20.723595,26,110.989417
63,18.315577,23,114.109571
64,28.035382,37,119.192633
65,4.141438,6,120.024681
66,24.568017,30,124.137794
67,3.748258,5,124.820396
68,7.171279,9,126.028376
69,8.305118,11,127.547157
70,3.33277,5,128.230225
71,28.202698,35,133.139824
72,23.893448,31,137.642303
73,10.057031,13,139.441509
74,1.253127,2,139.719415
75,3.642176,5,140.445559
76,8.021246,11,141.954719
77,28.100909,36,146.964019
78,7.550647,11,148.483882
79,26.873541,35,153.191597
80,15.920427,20,155.912682
81,11.714851,16,158.15168
82,9.875298,11,159.65076
83,29.291133,40,165.168392
84,20.74044,26,168.691919
85,6.906521,9,169.92955
86,24.948737,34,174.581996
87,5.568447,7,175.524306
88,1.842386,3,175.937117
89,10.654127,13,177.684181
90,7.645787,12,179.308052
91,10.974524,16,181.505869
92,4.79611,7,182.450682
93,14.264878,21,185.309615
94,5.572519,7,186.258902
95,14.877698,18,188.717739
96,3.552716,5,189.406766
97,7.925366,11,190.925597
98,3.0171,4,191.476778
99,22.744205,29,195.416943
100,30.64084,40,200.978077
101,13.082256,18,203.418443
102,2.66221,4,203.979558
103,8.06353,11,205.500816
104,1.253127,2,205.78077
105,4.617766,6,206.581328
106,5.505042,7,207.540098
107,3.860311,5,208.217394
108,1.951099,3,208.635799
109,6.705081,8,209.744738
110,2.017766,3,210.155758
111,5.97467,8,211.264399
112,5.135614,7,212.233296
113,7.728613,11,213.728928
114,14.347385,17,216.069249
115,2.641709,4,216.632938
116,4.798052,7,217.57221
117,3.112919,4,218.126784
118,3.309728,5,218.79922
119,25.03812,34,223.379232
120,20.253477,23,226.548618
121,10.730362,15,228.68873
122,7.237257,9,229.947396
123,1.820164,3,230.373868
124,10.434768,13,232.157863
125,2.754057,4,232.719449
126,1.951099,3,233.136145
127,6.175716,8,234.294526
128,21.258708,27,237.963748
129,29.04694,40,243.408644
130,27.808084,37,248.414282
131,13.590177,16,250.615105
132,9.189309,11,252.143439
133,17.272291,22,255.144835
134,8.256699,11,256.6619
135,17.488091,24,259.973272
136,5.138436,8,261.071218
137,24.620857,33,265.563285
138,22.724743,30,269.568037
139,23.036552,29,273.491999
140,1.839988,3,273.909949
141,4.993778,7,274.878539
142,3.66936,6,275.699265
143,17.414739,24,278.926776
144,5.773207,7,279.894026
145,6.305759,8,281.018609
146,24.126477,32,285.925951
147,2.618403,4,286.48413
148,8.8269,13,288.343224
149,6.44021,9,289.599675
150,8.260734,11,291.101046
151,7.976423,11,292.644164
152,13.071335,18,295.094924
153,8.655033,10,296.448715
154,14.039405,18,298.874975
155,31.024791,40,304.413339
156,4.645898,6,305.249478
157,8.460395,10,306.614003
158,15.377727,21,309.467489
159,2.681714,4,310.044372
160,12.639303,17,312.345445
161,11.545647,15,314.384931
162,7.331748,10,315.749793
163,4.351005,6,316.563498
164,16.261274,21,319.452677
165,5.241709,7,320.397585
166,3.200114,5,321.134709
167,29.700139,40,326.555321
168,2.96191,4,327.105715
169,8.909636,11,328.612626
170,17.099982,21,331.497911
171,7.733562,11,333.044044
172,11.202568,13,334.808962
173,10.459909,12,336.428993
174,8.691391,12,338.071153
175,24.134136,32,342.417464
176,14.53381,18,344.883104
177,3.94908,5,345.573912
178,27.737994,40,350.991874
179,13.286803,19,353.608876
180,30.423762,40,359.058794
181,25.021855,31,363.325739
182,31.167112,40,368.749503
183,16.243496,23,371.895183
184,10.778755,12,373.547953
185,4.947576,6,374.359526
186,8.908911,13,376.154385
187,6.864017,8,377.235199
188,6.817623,10,378.604388
189,1.134547,2,378.885415
190,8.179793,12,380.497643
191,10.240912,14,382.40825
192,5.202741,6,383.232073
193,22.876135,29,387.136974
194,8.550883,11,388.630036
195,3.248056,5,389.320768
196,6.552882,10,390.690772
197,12.602256,16,392.854342
198,6.414239,8,393.936235
199,2.039988,3,394.351233
200,19.464327,28,398.125861
201,12.246853,16,400.305472
202,7.739117,9,401.523109
203,5.202695,8,402.616352
204,21.542685,28,406.460064
205,13.701619,18,408.921975
206,30.586181,40,414.371597
207,5.559246,7,415.328603
208,6.603233,10,416.704455
209,1.820164,3,417.125538
210,2.664605,4,417.657346
211,1.773884,3,418.067483
212,27.013889,36,422.976703
213,3.705875,5,423.666903
214,4.795308,6,424.494365
215,7.735187,12,426.11009
216,28.681354,38,431.296653
217,29.233693,36,436.213839
218,30.755408,40,441.681519
219,5.114797,8,442.761484
220,4.706821,6,443.597749
221,30.262973,40,449.031253
222,17.475728,23,452.180169
223,17.946979,25,455.547593
224,19.330438,26,459.07272
225,23.518842,31,463.315203
226,4.015752,5,464.001949
227,22.037978,29,467.986867
228,30.751522,40,473.406897
229,11.175062,14,475.357504
230,13.731923,20,478.110169
231,8.77386,11,479.606365
232,31.341094,40,485.02458
233,1.92944,3,485.466946
234,8.48191,12,487.127439
235,3.682272,5,487.830601
236,11.500077,14,489.752017
237,4.423686,6,490.58178
238,16.853098,21,493.457731
239,10.688016,14,495.356148
240,29.105951,40,500.724945
241,6.50449,8,501.805725
242,9.308113,12,503.427612
243,30.967888,40,508.831277
244,4.424745,7,509.782408
245,28.786927,35,514.540081
246,7.308778,11,516.049931
247,7.303797,10,517.412265
248,10.019994,15,519.477448
249,9.452846,12,521.140144
250,17.854862,21,524.014945
251,6.928637,8,525.107539
252,29.352138,40,530.480361
253,3.261626,5,531.189808
254,3.395273,5,531.902151
255,4.442251,6,532.711025
256,6.132793,9,533.941956
257,18.232628,20,536.638675
258,2.958144,5,537.334428
259,1.77629,3,537.754389
260,2.06506,3,538.171671
261,3.891922,5,538.855296
262,7.200189,10,540.21798
263,6.372679,9,541.431802
264,17.69331,23,544.624697
265,32.631215,40,550.249037
266,31.857027,40,555.797033
267,13.087607,19,558.373156
268,16.214681,21,561.232537
269,3.993527,5,561.927362
270,1.97209,3,562.745243
271,10.040661,14,564.729559
272,10.791206,15,566.754605
273,15.789803,21,569.63689
274,9.661588,13,571.440407
275,8.944749,12,573.072147
276,1.988905,3,573.505261
277,5.994716,8,574.62261
278,16.909479,22,577.658544
279,31.506298,40,583.036292
280,10.824633,16,585.273334
281,29.099995,40,590.713169
282,29.237573,40,596.127611
283,22.947427,30,600.227726
284,17.803839,24,603.51908
285,8.172519,10,604.870772
286,23.036007,29,608.938623
287,2.795543,4,609.477077
288,13.306549,15,611.604718
289,12.122701,15,613.662138
290,18.125516,22,616.603387
291,4.156283,5,617.282096
292,8.863535,10,618.660299
293,28.86448,38,623.901923
294,21.114303,27,627.625059
295,12.158716,17,629.963015
296,23.886142,34,634.687887
297,10.372841,13,636.466664
298,14.531141,19,639.094904
299,18.879003,25,642.524633
300,15.797717,21,645.418475
301,13.077294,18,647.954985
302,23.482611,31,652.213297
303,3.66532,6,653.028348
304,25.138495,32,657.348481
305,21.511983,31,661.640026
306,20.414518,27,665.323233
307,29.233365,40,670.953897
308,10.240688,14,672.898703
309,1.776275,3,673.316894
310,5.403973,8,674.397813
311,18.290592,26,677.962452
312,15.591617,18,680.466131
313,28.901639,35,685.507471
314,4.846948,7,686.479064
315,28.839843,40,691.952648
316,22.597572,32,696.337366
317,32.209381,40,701.824092
318,32.046572,40,707.289731
319,11.369014,14,709.297822
320,31.932907,40,714.86863
321,4.489653,6,715.805365
322,4.910007,7,716.752377
323,2.665168,4,717.319438
324,19.548105,27,720.96905
325,2.640551,4,721.567496
326,26.888925,34,726.22546
327,4.657054,6,727.073313
328,3.242957,5,727.770835
329,29.394138,37,732.910723
330,29.621961,40,738.394341
331,9.372983,12,740.057578
332,3.823118,5,740.764971
333,28.105848,37,745.841391
334,8.26655,10,747.273593
335,22.509428,31,751.492379
336,31.925894,40,756.977885
337,2.55489,4,757.523497
338,26.479119,36,762.469441
339,25.084007,34,767.174073
340,30.182236,40,772.67134
341,4.93322,7,773.681711
342,1.608691,3,774.097668
343,2.794878,4,774.650309
344,14.667336,22,777.621668
345,15.79391,21,780.45991
346,23.928457,35,785.130318
347,19.049897,28,788.940186
348,12.954977,19,791.494774
349,1.92944,3,791.90784
350,4.331834,6,792.72404
351,2.749604,4,793.265782
352,2.575623,4,793.82154
353,1.710548,3,794.246832
354,10.091935,13,796.035642
355,14.168161,17,798.347167
356,2.777215,4,798.894929
357,3.2,5,799.586277
358,3.136951,5,800.269127
359,10.795954,14,802.191921
360,2.729683,4,802.728545
361,11.303765,14,804.623966
362,16.772676,22,807.62622
363,21.532581,30,811.89689
364,4.220819,6,812.717376
365,28.757404,40,818.211324
366,31.637139,40,823.77766
367,28.624738,35,828.727651
368,14.994234,21,831.578797
369,0.941109,2,831.863217
370,29.263309,40,837.309879
371,4.319897,6,838.150915
372,17.499882,24,841.425564
373,27.013595,34,846.427138
374,28.621485,40,851.891326
375,30.94977,40,857.384998
376,30.954723,40,862.875904
377,28.864306,40,868.213741
378,14.502557,18,870.666063
379,7.066104,10,872.0485
380,8.446253,10,873.44292
381,21.971384,30,877.665221
382,29.001002,40,883.361936
383,14.040082,17,885.764057
384,15.616434,22,888.744707
385,11.973325,16,890.97573
386,7.730197,9,892.185656
387,5.417105,8,893.292862
388,31.522451,40,898.73506
389,3.59543,5,899.442011
390,28.826813,40,904.943517
391,26.033748,34,909.565925
392,10.996027,15,911.582958
393,6.593363,8,912.717968
394,5.690701,8,913.812359
395,7.051282,9,915.087116
396,17.884355,25,918.596531
397,16.337611,19,921.362712
398,31.205259,40,926.975298
399,13.177293,19,929.630365
400,20.707574,28,933.575125
401,1.598501,3,934.013894
402,15.602059,21,936.931834
403,18.15921,25,940.348074
404,17.688732,24,943.724042
405,21.669925,30,947.984388
406,29.716237,40,953.529783
407,6.395449,9,954.77532
408,19.303928,26,958.41982
409,28.603195,40,963.953437
410,32.926824,40,969.414307
411,5.912217,9,970.64762
412,26.468689,36,975.62014
413,30.22325,40,981.110164
414,29.091554,40,986.59738
415,31.107832,40,991.997525
416,4.484546,6,992.818463
417,21.905554,31,997.085746
418,32.202012,40,1002.632205
419,4.993505,6,1003.478046
420,6.160012,9,1004.828781
421,25.947596,35,1009.765179
422,28.48955,39,1015.103418
423,7.178431,11,1016.623152
424,16.891297,24,1019.998993
425,21.046974,29,1024.078179
426,14.531894,19,1026.787114
427,29.662304,40,1032.333377
428,32.51569,40,1037.691999
429,21.025953,29,1041.652182
430,13.446487,19,1044.289663
431,15.578284,22,1048.096306
432,30.957095,40,1053.836531
433,7.843802,10,1055.248774
434,24.397891,31,1059.816892
435,28.780215,40,1065.347402
436,10.817529,13,1067.158832
437,1.843882,3,1067.565916
438,3.820868,6,1068.385544
439,4.666024,7,1069.335174
440,10.57977,15,1071.408835
441,29.133517,40,1076.945813
442,8.038464,11,1078.469281
443,5.176294,8,1079.624686
444,1.77572,3,1080.055959
445,29.129523,40,1085.558342
446,3.754879,5,1086.263011
447,29.225963,40,1091.752566
448,17.641305,24,1095.056147
449,19.40048,27,1098.821582
450,31.733863,40,1104.437434
451,5.66916,8,1105.590586
452,31.310434,40,1111.149249
453,17.175012,23,1114.309222
454,29.680784,40,1119.804572
455,6.147681,8,1120.934209
456,3.62016,5,1121.623676
457,19.41629,24,1125.039463
458,29.402684,40,1131.034471
459,30.530647,40,1136.500124
460,31.534487,40,1142.032149
461,20.391178,27,1145.806337
462,11.155309,15,1147.923032
463,31.710394,40,1153.304499
464,1.754068,3,1153.722123
465,28.737904,40,1159.270844
466,31.466636,40,1164.753646
467,29.489993,40,1170.236768
468,4.085872,6,1171.081138
469,9.775733,14,1173.005557
470,28.552176,40,1178.480477
471,28.107591,40,1184.155035
472,25.957484,34,1188.787233
473,28.67025,40,1194.247812
474,27.890684,40,1199.618993
475,29.758481,40,1205.075625
476,28.243004,40,1210.518357
477,28.181122,40,1215.994953
478,30.092191,40,1221.439667
479,29.424085,40,1226.836415
480,30.422814,40,1232.361797
481,4.041208,6,1233.186835
482,31.979538,40,1238.759335
483,2.642386,4,1239.321721
484,16.820777,22,1242.374448
485,29.147277,38,1247.582408
486,29.197703,40,1253.111801
487,30.331402,40,1258.575546
488,31.449034,40,1264.046379
489,30.666194,40,1269.468243
490,27.826903,37,1274.64813
491,4.41683,6,1275.471597
492,29.757424,40,1281.004836
493,29.242758,40,1286.534891
494,21.53207,31,1290.858183
495,28.08433,38,1296.296983
496,29.823407,40,1301.974686
497,29.130812,40,1307.563878
498,27.982348,40,1313.048586
499,14.436444,18,1315.539069
500,28.949574,38,1320.673664
501,8.5789,13,1322.45829
502,29.003606,40,1328.175835
503,29.995311,40,1333.610221
504,30.444561,40,1339.134769
505,2.826895,5,1339.814149
506,15.622845,22,1342.810444
507,29.610941,40,1348.345276
508,29.66653,40,1353.836837
509,21.882824,30,1358.018517
510,31.269897,40,1363.466561
511,28.444268,40,1368.905863
512,20.865155,29,1372.905855
513,29.226356,40,1378.413237
514,30.709594,40,1383.918647
515,26.084083,36,1388.828539
516,24.664735,33,1393.34482
517,30.633374,40,1399.048765
518,31.33629,40,1404.655089
519,1.864609,3,1405.066187
520,1.860979,3,1405.488623
521,28.094035,40,1411.034917
522,21.197529,29,1415.430772
523,31.353608,40,1421.180624
524,31.871906,40,1426.645427
525,29.201968,40,1432.087473
526,4.894148,8,1433.185613
527,12.291841,15,1435.228789
528,7.910966,11,1436.71522
529,10.307168,14,1438.576552
530,29.959838,40,1444.104791
531,8.971979,12,1445.724717
532,10.265192,15,1447.757423
533,27.869332,37,1452.904325
534,13.529288,18,1455.4808
535,22.71637,30,1459.661552
536,5.264473,7,1460.627803
537,30.827454,40,1466.305767
538,32.713858,40,1471.923413
539,25.04251,33,1476.465383
540,19.864593,26,1480.060612
541,21.538326,30,1484.107014
542,29.862717,39,1489.602072
543,19.889666,27,1493.457246
544,7.358359,10,1494.838017
545,30.269905,40,1500.457842
546,32.123707,40,1506.046509
547,30.960815,40,1511.646251
548,30.439979,40,1517.153762
549,14.086408,19,1519.843576
550,30.113786,40,1525.392758
551,30.330235,40,1530.829732
552,16.400803,22,1533.845568
553,33.716366,40,1539.291552
554,30.951548,40,1544.949669
555,3.664817,5,1545.842945
556,5.774008,7,1546.896742
557,3.783013,6,1547.752868
558,15.665778,21,1550.781366
559,30.047515,40,1556.407337
560,23.583033,32,1560.801377
561,30.160662,40,1566.446383
562,5.461867,7,1567.379571
563,30.481504,40,1572.959589
564,21.840134,32,1577.379567
565,30.886233,40,1582.829935
566,31.29037,40,1588.393127
567,11.817077,16,1590.627474
568,30.60126,40,1596.145514
569,30.624496,40,1601.850139
570,30.5829,40,1607.282029
571,6.265307,9,1608.491798
572,29.332871,40,1613.948983
573,30.288886,40,1619.40785
574,26.469843,38,1624.632347
575,21.138592,29,1628.618406
576,29.870398,40,1634.332989
577,16.664493,22,1637.434866
