episode,reward,length,time
1,0.559105,13,0.748119
2,6.143988,12,1.128945
3,-2.365057,5,1.270282
4,9.0,9,1.496362
5,0.318553,7,1.670526
6,5.232799,11,1.923363
7,2.168681,13,2.132439
8,-2.644326,6,2.266414
9,2.0,13,2.624104
10,-5.0,1,2.687287
11,5.527014,13,2.99702
12,1.549414,13,3.211949
13,2.626803,13,3.711903
14,2.613648,13,4.149865
15,3.234262,13,4.399741
16,-2.318366,11,4.634008
17,-2.318366,5,4.721864
18,0.0,6,4.87761
19,-2.513594,8,5.127027
20,-3.356173,10,5.383481
21,3.309281,13,5.665235
22,5.741659,13,6.013579
23,3.151729,13,6.354576
24,4.459716,13,6.73783
25,6.524722,13,7.062961
26,-1.372771,9,7.281341
27,-3.356173,10,7.561399
28,-2.0,6,7.715305
29,4.549806,13,7.992217
30,-0.825132,8,8.210404
31,-1.0,9,8.400428
32,3.784993,13,8.715021
33,0.0,13,9.132871
34,-2.370348,5,9.305648
35,2.0,8,9.552428
36,2.285152,13,9.815223
37,-2.0,6,10.005908
38,5.121333,12,10.386305
39,-1.0,5,10.459596
40,9.0,9,10.668075
41,-0.381164,8,10.916027
42,2.472861,13,11.124756
43,-2.472125,8,11.35392
44,-0.57992,5,11.51458
45,-2.0,4,11.630151
46,1.0,13,12.026048
47,-2.676484,6,12.222764
48,7.100169,13,12.461859
49,7.681208,9,12.619142
50,-0.381164,7,12.769027
51,-1.446814,7,12.91653
52,-4.386359,9,13.175896
53,-3.438636,7,13.303011
54,1.0,6,13.468466
55,3.523185,13,13.688876
56,-1.372771,6,13.827309
57,4.220227,13,14.114402
58,-2.436558,6,14.263992
59,0.0,13,14.640574
60,7.177029,11,14.951655
61,-1.318719,6,15.036327
62,1.552054,13,15.30127
63,8.243919,11,15.715943
64,-2.819989,10,16.006985
65,5.233476,13,16.31901
66,-1.366575,6,16.434225
67,1.472862,13,16.731505
68,4.025656,13,16.969775
69,0.0,6,17.130542
70,2.53659,13,17.506178
71,-1.0,5,17.674143
72,2.0,13,17.97341
73,5.633166,10,18.19361
74,-2.373197,6,18.347755
75,-4.0,13,18.605243
76,-0.841249,5,18.750135
77,-1.0,5,18.893375
78,0.549842,13,19.302979
79,-1.700382,7,19.494232
80,-2.289116,7,19.762147
81,-2.318366,6,19.893331
82,-2.0,4,19.990188
83,5.815284,12,20.215976
84,8.633113,10,20.489011
85,0.604275,13,20.749461
86,-2.318366,7,20.869326
87,-2.0,6,21.005747
88,1.551433,13,21.393744
89,2.270297,13,21.684725
90,-2.0,9,21.912598
91,-2.4629,9,22.168089
92,-2.0,7,22.35995
93,-1.379585,7,22.579603
94,-1.447446,7,22.765791
95,1.0,13,23.1107
96,6.168434,11,23.446349
97,0.695809,13,23.870186
98,-1.299552,4,23.971258
99,-1.380586,12,24.271658
100,1.551712,13,24.47229
101,-2.373197,7,24.58518
102,-0.57992,5,24.679928
103,-3.631866,5,24.780199
104,-2.447956,8,24.954228
105,-1.379585,6,25.104041
106,7.314328,10,25.319656
107,-2.365057,5,25.430864
