episode,reward,length,time
1,6.225167,7,0.625217
2,11.629661,15,0.768168
3,6.816317,8,0.842613
4,12.078061,17,0.994516
5,4.997337,6,1.049943
6,10.669724,13,1.176449
7,7.998595,10,1.26829
8,7.929131,9,1.352114
9,11.665716,14,1.506807
10,4.938063,6,1.561362
11,13.467346,15,1.727833
12,11.096359,13,1.853062
13,13.166724,15,1.989728
14,4.903882,6,2.046778
15,7.26386,8,2.129846
16,6.286622,8,2.204294
17,12.778782,15,2.345123
18,5.938963,7,2.411431
19,7.089939,8,2.498314
20,4.154628,5,2.548631
21,5.028102,6,2.606028
22,3.979618,5,2.654147
23,10.292394,13,2.807479
24,7.23939,8,2.890157
25,7.156057,8,2.967758
26,3.984703,5,3.01553
27,4.655006,6,3.071414
28,5.095814,6,3.126829
29,4.873592,6,3.182211
30,5.156057,6,3.237467
31,7.63038,9,3.322613
32,8.549642,10,3.417529
33,6.747499,8,3.495712
34,12.428396,14,3.626905
35,13.743224,16,3.786934
36,5.179147,6,3.878694
37,8.077117,10,4.004822
38,4.861648,6,4.066102
39,6.76386,8,4.152496
40,4.98939,6,4.210869
41,6.66213,8,4.290346
42,7.040258,8,4.388144
43,3.931394,5,4.435036
44,4.208016,5,4.481348
45,7.301975,9,4.565729
46,4.941881,6,4.621135
47,6.081454,7,4.688343
48,4.916756,6,4.743619
49,10.954603,14,4.873032
50,7.364241,9,4.95791
51,5.083871,6,5.014119
52,5.083871,6,5.069609
53,8.580425,10,5.162408
54,7.047259,8,5.235486
55,6.892315,8,5.310443
56,4.160359,5,5.356457
57,5.607299,7,5.423107
58,7.789014,9,5.526855
59,4.307453,5,5.573267
60,3.222222,4,5.635225
61,11.908104,13,5.82842
62,6.833465,8,5.905039
63,5.022565,6,5.965455
64,6.868434,8,6.047975
65,5.139426,6,6.105378
66,12.329395,15,6.246255
67,4.040258,5,6.29534
68,4.083871,5,6.342961
69,6.830405,8,6.419814
70,4.252945,5,6.465696
71,4.845734,6,6.527045
72,8.210296,10,6.625092
73,12.577486,15,6.764734
74,6.836635,9,6.850941
75,13.91179,16,7.001964
76,4.0585,5,7.048061
77,7.6092,9,7.155301
78,8.331295,10,7.247717
79,5.937679,7,7.313111
80,4.094226,5,7.361485
81,13.206229,15,7.498314
82,8.122393,10,7.594571
83,10.826027,14,7.73456
84,5.899798,7,7.808675
85,8.194771,9,7.894397
86,6.001443,7,7.959996
87,3.389166,4,7.999173
88,3.104346,4,8.039356
89,9.290751,12,8.159613
90,5.782514,7,8.225608
91,7.624194,9,8.308429
92,4.3085,5,8.354695
93,11.970303,16,8.498128
94,8.005358,10,8.612571
95,3.319415,4,8.650343
96,11.789695,14,8.78549
97,4.143477,5,8.833158
98,9.450117,11,8.938469
99,4.205654,5,8.984613
100,5.069412,6,9.04109
101,6.108462,7,9.105993
102,3.277778,4,9.144777
103,6.948432,9,9.228984
104,4.937744,6,9.284151
105,12.083036,16,9.427813
106,5.236836,6,9.483647
107,3.114056,4,9.522569
108,6.944463,8,9.597148
109,4.984703,6,9.654304
110,4.180526,5,9.700532
111,8.657015,11,9.801955
112,7.607325,9,9.887782
113,12.901058,16,10.054271
114,5.104346,6,10.109985
115,5.017168,6,10.166734
116,5.006764,6,10.221453
117,9.14202,11,10.323089
118,4.034808,5,10.371622
119,8.621996,10,10.465722
120,4.837433,6,10.52439
121,4.277778,5,10.571986
122,5.014993,6,10.628319
123,7.468372,9,10.714242
124,3.913876,5,10.761001
125,4.01248,5,10.809387
126,5.909901,7,10.873734
127,4.021881,5,10.92086
128,4.071325,5,10.967746
129,11.680995,14,11.101506
130,5.066672,6,11.16032
131,5.957853,7,11.233138
132,6.478284,8,11.311174
133,12.88499,16,11.472994
134,4.283333,5,11.522696
135,5.055574,6,11.580449
136,11.941355,15,11.717788
137,5.941795,7,11.7844
138,4.124971,5,11.831674
139,5.077964,6,11.888516
140,12.7729,14,12.020969
141,10.373213,12,12.130923
142,4.855187,6,12.187857
143,6.003748,8,12.262077
144,7.158611,9,12.349506
145,4.182436,5,12.397697
146,4.192565,5,12.444372
147,11.283711,14,12.572708
148,4.940632,6,12.631829
149,7.013693,8,12.709844
150,6.802353,8,12.783768
151,10.344283,13,12.904496
152,4.336278,5,12.973169
153,7.76455,9,13.062716
154,12.967346,15,13.207648
155,4.9113,6,13.265345
156,4.916685,6,13.320266
157,5.724999,7,13.387942
158,7.017168,8,13.464504
159,13.56734,15,13.609112
160,4.291637,5,13.65594
161,5.944502,7,13.723093
162,6.919133,8,13.80149
163,7.467727,9,13.889188
164,5.955654,7,13.954524
165,7.914781,9,14.041992
166,5.719311,7,14.108626
167,7.439943,9,14.193052
168,8.210606,10,14.28451
169,7.70028,9,14.371355
170,9.984934,12,14.506806
171,4.104346,5,14.554731
172,6.683831,8,14.62986
173,7.670093,9,14.71205
174,7.887484,10,14.805832
175,12.120833,14,14.935002
176,4.366667,5,14.98189
177,3.994633,5,15.029494
178,6.451158,8,15.106605
179,6.088889,7,15.172812
180,7.375376,9,15.258496
181,4.13701,5,15.307511
182,5.24268,6,15.362879
183,6.937894,9,15.448731
184,12.611169,14,15.603613
185,9.664896,13,15.724131
186,3.207037,4,15.761743
187,4.416667,5,15.808986
188,8.096575,9,15.894437
189,5.10861,6,15.950985
190,6.727201,8,16.026858
191,11.813655,13,16.150955
192,7.676006,10,16.27263
193,8.509129,10,16.366435
194,4.87688,6,16.423645
195,9.115408,11,16.5257
196,4.233431,5,16.573543
197,3.283333,4,16.611204
198,5.686156,7,16.676457
199,6.781203,8,16.750284
200,5.100501,6,16.806832
201,4.043949,5,16.852797
202,6.876491,8,16.930918
203,5.003427,6,16.987493
204,4.12232,5,17.035059
205,4.184458,5,17.105631
206,10.319132,12,17.237406
207,10.889876,13,17.361433
