episode,reward,length,time
1,10.041667,11,0.702952
2,9.333333,11,0.864686
3,1.041667,2,0.897037
4,9.375,11,1.051513
5,5.5,7,1.158918
6,10.0,11,1.319279
7,10.75,11,1.476483
8,10.666667,11,1.641942
9,8.208333,10,1.789698
10,9.666667,11,1.952783
11,9.583333,11,2.113187
12,10.0,11,2.2728
13,10.5,11,2.433285
14,9.708333,11,2.587166
15,10.708333,11,2.74117
16,9.208333,11,2.896808
17,1.083333,2,2.929116
18,1.791667,3,2.977328
19,9.916667,11,3.132132
20,9.333333,11,3.28684
21,9.25,11,3.447099
22,10.041667,11,3.602498
23,9.833333,11,3.760845
24,9.416667,11,3.922726
25,10.125,11,4.083962
26,3.666667,5,4.157489
27,9.75,11,4.313911
28,10.041667,11,4.466293
29,9.0,11,4.625052
30,10.458333,11,4.782702
31,6.166667,8,4.902612
32,10.208333,11,5.060133
33,5.666667,7,5.162181
34,5.75,7,5.26599
35,9.416667,11,5.42544
36,10.5,11,5.58328
37,4.708333,6,5.673618
38,10.291667,11,5.830292
39,9.833333,11,5.98926
40,9.75,11,6.154672
41,1.166667,2,6.188361
42,9.291667,11,6.346184
43,9.166667,11,6.508068
44,4.625,6,6.616439
45,9.25,11,6.779489
46,9.541667,11,6.935273
47,1.125,2,6.968668
48,9.375,11,7.127313
49,9.25,11,7.28837
50,9.166667,11,7.44301
51,1.041667,2,7.47492
52,1.083333,2,7.511178
53,9.375,11,7.668594
54,10.25,11,7.829272
55,4.666667,6,7.918346
56,9.5,11,8.081161
57,9.25,11,8.239623
58,9.5,11,8.405246
59,9.458333,11,8.565883
60,2.041667,3,8.612531
61,10.583333,11,8.765806
62,9.375,11,8.925641
63,2.958333,4,9.003199
64,10.041667,11,9.199109
65,9.125,11,9.363994
66,2.916667,4,9.431405
67,1.125,2,9.46465
68,1.041667,2,9.498845
69,9.375,11,9.652581
70,10.5,11,9.810601
71,9.166667,11,9.972045
72,9.625,11,10.135877
73,6.791667,8,10.256852
74,10.0,11,10.416303
75,1.166667,2,10.44942
76,10.083333,11,10.612663
77,1.083333,2,10.64562
78,1.125,2,10.678247
79,9.916667,11,10.843811
80,10.25,11,11.003845
81,3.791667,5,11.079402
82,9.541667,11,11.241166
83,7.375,9,11.478134
84,9.625,11,11.651522
85,9.291667,11,11.810867
86,9.916667,11,11.968915
87,10.791667,11,12.1255
88,5.833333,7,12.230975
89,9.333333,11,12.389052
90,9.458333,11,12.550473
91,9.583333,11,12.707089
92,10.166667,11,12.86474
93,10.666667,11,13.022098
94,4.791667,6,13.109157
95,4.791667,6,13.195897
96,9.291667,11,13.359416
97,9.708333,11,13.51813
98,10.333333,11,13.675233
99,9.75,11,13.83499
100,8.958333,11,13.998218
101,4.833333,6,14.087816
102,9.25,11,14.267927
103,9.25,11,14.463561
104,9.5,11,14.681844
105,1.166667,2,14.718798
106,1.125,2,14.775829
107,10.041667,11,14.993017
108,9.958333,11,15.203027
109,10.125,11,15.367217
110,3.708333,5,15.444245
111,9.25,11,15.600781
112,10.291667,11,15.757696
113,6.25,8,15.874894
114,9.958333,11,16.030267
115,1.166667,2,16.06258
116,9.791667,11,16.226794
117,3.75,5,16.301211
118,9.25,11,16.458237
119,1.166667,2,16.491367
120,4.708333,6,16.701985
121,3.833333,5,16.82668
122,9.375,11,17.15433
123,9.541667,11,17.340712
124,3.75,5,17.417301
125,3.833333,5,17.493381
126,9.541667,11,17.652735
127,7.375,9,17.785758
128,1.125,2,17.818165
129,10.166667,11,17.976821
130,8.875,11,18.133121
